岗位名称,区位,薪资,工作年限,学历,关键词,公司名,企业类别,企业规模,岗位要求,更新时间,来源
ai算法工程师,北京-丰台,12k-15k,1-3年,大专,"搜索/推荐算法
通信算法
机器视觉
C++",四川恒思亿信息技术有限公司,IT服务,20-99人,"职位描述
搜索/推荐算法通信算法机器视觉C++
岗位职责：
1、图像识别算法维护与开发
2、图像识别算法创新与升级
任职条件：
1 、专科及以上学历， 计算机等相关专业
2、 熟练使用C++（QT方向）、python、Matlab、R等；有独立完成的物体识别、定位、分类相关项目优先
3、 扎实的数学分析基础，能够对样本数据进行整理、清洗、分析； 有独立完成的卷积神经网络相关项目优先
4、 熟悉svm、k-means、cnn等； 有独立完成的数据回归、分类、预测相关项目优先
5、 熟悉opencv等图像处理库
6、 熟悉主流网络摄像机sdk
7、 扎实的数学基础，思维清晰，逻辑严密
8、责任心强，上手能力快，具有良好的团队意识和沟通能力，有较强的主动学习能力和解决问题的能力，能承担工作压力。",2024-01-02,智联
AI算法研究员,北京-海淀,15k-30k,经验不限,本科,"Torch
TensorFlow
Python
智慧医疗",东华医为科技有限公司,"IT服务,IT服务",1000-9999人,"职位描述
TorchTensorFlowPython智慧医疗
岗位职责：
1）结合临床具体需求，负责图像或文本算法研发，包括深度学习、图像处理等算法和软件研发；
2）负责算法性能优化；
职位要求：
1）数学，计算机，机器视觉、物理，生物医学工程等相关专业，有医学图像处理与分析及相关开发经验优先；
2）精通Torch、Tensorflow框架；
3）精通python；
4）对医学影像处理及AI算法有丰富经验和和成功案例者优先；
5）有发表高水平文章或项目申请经验者优先。",2024-01-04,智联
AI算法工程师,北京-海淀,20k-35k,经验不限,硕士,"CNN
TensorFlow
PyTorch
数据开发
人工智能、视觉识别
深度学习算法
Python",南京智子引擎信息科技有限公司,人工智能,20-99人,"职位描述
CNNTensorFlowPyTorch数据开发人工智能、视觉识别深度学习算法Python
招聘深度学习，感兴趣随时和我联系~",2024-12-29,智联
视频AI算法工程师,北京-海淀,15k-30k·13薪,经验不限,本科,"SAM
YOLO
pytorch
TensorFlow
Python
C/C++
Java
GO
计算机
软件工程",龙软科技,"计算机软件,IT服务,计算机软件,矿产/采掘",300-499人,"职位描述
SAMYOLOpytorchTensorFlowPythonC/C++JavaGO计算机软件工程
岗位职责：
1.负责当前产品线的代码改进和完善，增强产品的可扩展性；
2.负责系统的功能测试与项目维护；
3.负责项目相关问题的内部系统、外部系统的技术支持，技术培训等；
4.参与产品策划，完成项目的功能设计与脚本化代码实现；
5.协助完成策划方案与需求明细，负责项目开发过程中相关文档的编写；
6.完成上级领导交办的其他任务。
任职条件：
1. 本科及以上学历，计算机，软件工程，信息系统等相关专业优先；
2. 熟悉CV领域基本模型算法如YOLO，SAM等，在特定领域有相关模型训练实践经验；
3. 熟悉常见深度学习框架，如Pytorch, Tensorflow等；
4. 具有基础算法和编程能力，熟悉常见编程语言，包括但不限于Python, C/C++, Java, Go等；
5. 具备良好的沟通表达能力以及团队合作精神，具有强烈的工作责任心。",2024-12-20,智联
ai算法工程师,北京-海淀,15k-16k,1年以下,本科,,首聘(北京)科技有限公司,"企业服务,电子商务",1000-9999人,"职位描述
1. 收集、清洗及挖掘海量语音数据，并利用深度学习模型，探索优化并改进数据生产链路，提高数据生产效率
2. 与算法团队、数据采集团队、平台工程化团队合作，打造一体化的数据生产、模型训练和业务交付平台
3. 基于现有的语音大模型和平台基础，熟练掌握模型训练和调优的方法，支持面向业务交付的模型训练和优化
【任职要求】1. 精通linux平台2. 精通shell、python脚本，代码功底扎实，熟悉常见数据结构及算法3. 具备良好的逻辑思维能力、沟通能力，做事认真细心4. 有深度学习、自然语言处理相关经验者优先",2024-01-04,智联
AI算法工程师 (校招),北京-海淀,20k-40k·14薪,经验不限,硕士,"图像算法
C++
机器视觉
深度学习
Caffe
目标检测
检测算法
Python",北京阿丘机器人科技有限公司,"人工智能,企业服务",300-499人,"职位描述
图像算法C++机器视觉深度学习Caffe目标检测检测算法Python
岗位职责：
1、参与构建和优化、实现和部署面向工业检测的AI图像算法。
任职要求：
1、数学、计算机、电子等相关专业，硕士及以上学历，英语读写能力强；
2、了解AI图像算法最新技术前沿，熟悉AI图像算法构建和优化；
3、掌握C++编程和代码优化；
4、学习能力和创新能力强；
5、有工业检测应用经验者优先。
职位福利：五险一金、补充医疗保险、14薪、创业公司、股票期权、带薪年假、餐补",2024-12-28,智联
AI算法工程师（高级）,北京-海淀,25k-40k·14薪,3-5年,本科,"C++
神经网络
目标跟踪
TensorFlow
Caffe
Shell
PyTorch
机器学习算法",北京崭珀科技有限公司,"人工智能,IT服务,计算机软件,计算机硬件",20-99人,"职位描述
C++神经网络目标跟踪TensorFlowCaffeShellPyTorch机器学习算法
岗位职责：
1) 针对公司业务和运营场景，完成人工智能应用相关算法研发和迭代调优工作。
2) 从事深度学习、统计学习等机器学习算法研究、工程实现和优化等工作，包括各类传统和新型机器学习算法。
3) 负责计算机视觉相关的技术研发工作，包括但不限于：目标检测、语义分割、语义识别。
4) 完成ARM平台算法优化，调整网络结构，减少模型所需的计算资源，提高模型的识别准确率。
任职条件：
1) 统招本科及以上学历，计算机或数学相关专业，熟练掌握计算机视觉、神经网络算法理论基础。
2) 熟悉计算机视觉、机器学习算法，并在以下一个或者多个领域有深入研究，图像分类、目标检测、目标跟踪和图像分割等领域。
3) 熟悉深度学习的框架，例如 Tensorflow, Pytorch, Caffe，SSD，Yolo等。
4) 熟悉业界通用的人工智能和机器学习方案和应用流程，具有根据需求制定算法方案并完成工程开发的能力。
5) 熟练掌握 C/C++ 语言，并至少掌握一种脚本语言，如Python、Shell等。
6) 3年以上AI领域工作经验。
7) 有无人驾驶工作经验优先。
职位福利：创业公司、周末双休、五险一金、带薪年假、节日福利、交通补助、餐补、通讯补助",2024-12-19,智联
AI算法工程师（NLP方向）,北京-海淀,20k-40k,3-5年,硕士,NLP,智联猎头,"互联网,人力资源服务",1000-9999人,"职位描述
NLP
岗位职责：
1） 跟踪AI领域最新研究成果，负责自然语言、语音、视觉等感知模块相融合的算法研究；
（2） 融合自然语言处理与机器视觉、语音技术，针对文本、图像、音视频等多模态信息进行联合解析，构建计算模型，实现视觉与语言信息中的语义识别与整合，应用于图像描述、视觉问答、逻辑推理以及客服问答等AI领域重要任务；
（3） 建立可解释的问答推理模型，包括神经符号推理、图形推理等;
（4） 优化自然语言处理基础模块效果，包括不限于分词、实体识别、语法分析、意图分类等。
任职要求：
1、硕士研究生以上学历，自动化、计算机科学、模式识别、图像处理、多媒体技术等专业方向；
2、熟悉图像处理、模式识别算法，熟悉GPU、OpenCV等图像处理平台；
3、熟悉深度学习主流框架，熟练应用Caffe, TensorFlow或Torch等至少一种框架，具备相关算法开发与应用经验；
4、精通C/C++/Python等编程语言,有丰富的Linux开发经验；
5、积极主动、性格开朗，有良好沟通与团队协作能力，乐于接受挑战；
6、熟练英文读写。",2024-12-29,智联
算法工程师（点云ai方向）,北京-昌平,40k-60k·16薪,经验不限,硕士,"C++
智能驾驶
感知融合
激光雷达感知算法
3D目标检测",广垠(河北)人力资源服务有限公司,证券/期货,0-20人,"职位描述
C++智能驾驶感知融合激光雷达感知算法3D目标检测
工作职责：
1、负责基于深度学习激光雷达点云的3D目标检测、分割、跟踪等算法的研究及迭代计算；
2、负责自动驾驶中激光雷达感知算法的长期研发和迭代，及算法在及时产品中的落地与优化提升；
任职要求：
1、本科及以上学历，要有ai模型训练和使用经验，具备深度学习经验。
2、有至少4年工作经验
3、工作项目涉及激光雷达感知、点云感知、目标检测、深度学习、pointpillar、聚类相关的，涉及其中2个以上
4、有自动驾驶行业（矿山领域更好）从业经验",2024-01-04,智联
AI研究算法工程师-NLP方向,北京-海淀,20k-30k·14薪,3-5年,硕士,"文本分析
PyTorch
DNN
CNN
RNN
C++
Python
大模型",科大讯飞,,无,"职位描述
文本分析PyTorchDNNCNNRNNC++Python大模型
工作职责:
1、负责认知智能及自然语言处理核心算法研究与开发；
2、针对具体业务问题能够结合算法特点，设计合理的落地方案并实施交付；
任职要求:
1、硕上及以上学历，计算机、信号处理数学、软件工程、电子与通信、自动化等相关专业，研究生4年以上/博士3年以上NLP研发相关工作经历，具备较为扎实的自然语言处理、人机交互等领域研究或开发经验，对于个别具备较强NLP/NN技术能力的应聘者不受专业限制；
2、英语六级以上，具备中英文学术论文的调研能力；
3、具备NLP领域实际项目经验，作为项目的主要负责人员进行过相关产品的研发，对深度学习、自然语言处理、大数据等相关领域的最新进展模型、算法有深刻理解和实操经验；
4、熟悉Python、C++等编码语言中至少一种，熟悉Linux下的编程开发环境，熟悉数据结构及常见算法；
5、具备深度学习、强化学习、知识图谱方面的研究经验和基础；同时熟悉pytorch等主流深度学习框架，并具备模型训练调参等相关经验；
6、具有良好的沟通能力和团队合作精神，有过团队管理经验、认真负责，拥有较强的逻辑思维能力，沟通能力较强，责任心强，吃苦耐劳，可接受长期出差。",2024-12-29,智联
ai算法工程师,北京-海淀,12k-15k·15薪,经验不限,硕士,"Python
C++
图像算法
音视频算法
机器视觉",北京和人广智科技有限公司,"网络/信息安全,网络/信息安全",20-99人,"职位描述
PythonC++图像算法音视频算法机器视觉
岗位职责：
1.负责利用深度学习技术开发和优化图像、音频算法，包括图像增强，图像分类，目标检测、动作识别、语音增强，语音分离，语音识别，迭代提升算法性能；
2.负责解决算法在测试中出现的问题，通过数据增强、调参、调整模型结构等方式加快产品落地；
3.负责模型优化裁剪、模型转码整合，用量化、剪枝、算子替换、蒸馏等方式，降低模型算力或存储需求，以便移植到特定硬件平台。
任职资格：
1. 信号处理、图像处理、声学、计算机、物理、电子信息等相关专业，硕士及以上学历；
2. 有图像、声学算法调试，图像、音频信息隐藏相关实习经验的优先；
3.英语阅读能力强，能够调研英文文献。",2024-12-14,智联
AI算法工程师,北京-丰台,20k-40k,5-10年,本科,"视觉图像算法
PyTorch
定位算法
Python
C++",星宠王国(北京)科技有限公司,云计算/大数据,20-99人,"职位描述
视觉图像算法PyTorch定位算法PythonC++
岗位要求 （有犬鼻纹和虹膜相关经验） 1、本科及以上学历，5年及以上AI、视觉、图像处理相关领域工作经验; 2、熟悉Java、Scala、Python/R等语言；有图像处理、视觉AI项目经验，熟练掌握 Spark ML、Tensorflow、Python Sklearn、Caffe等机器学习和深度学习框架中的一种或多种优先; 3、有过深度学习、强化学习、自然语义、数据挖掘、海量数据处理和并行计算应用经验者优先; 4、孰练掌握互联网或工业制造领域各类算法问题和解决方案，有人工智能落地到实际业务者优先。
岗位职责 1、匹配业务场景，设计图像、视觉算法建模解决方案，对业务数据进行分析、算法设计及验证，并负责各类AI图像处理挖掘算法的开发、应用、监控优化，支撑公司数据挖掘落地; 2、参与AI图像视觉产品技术架构设计、技术规划、技术选型; 3、参与AI图像视觉系统的关键性能调优、重大问题攻关，解决在商用过程中碰到的关键技术难题; 4、开展图像视觉挖掘分析算法/工具研究工作，研发创新方法解决业务问题，并组织相应方法/工具的引入，技术规范制定和推广。 5、有犬鼻纹和虹膜项目经验。 6、同时熟悉jiva语言优先考虑",2024-12-12,智联
ai数据算法工程师,北京-海淀,15k-16k,1-3年,本科,"Python
Shell
语音数据
模型训练
深度学习
自然语言处理",首聘(北京)科技有限公司,"企业服务,电子商务",1000-9999人,"职位描述
PythonShell语音数据模型训练深度学习自然语言处理
【岗位职责】
1. 收集、清洗及挖掘海量语音数据，并利用深度学习模型，探索优化并改进数据生产链路，提高数据生产效率
2. 与算法团队、数据采集团队、平台工程化团队合作，打造一体化的数据生产、模型训练和业务交付平台
3. 基于现有的语音大模型和平台基础，熟练掌握模型训练和调优的方法，支持面向业务交付的模型训练和优化
【任职要求】
1. 精通linux平台
2. 精通shell、python脚本，代码功底扎实，熟悉常见数据结构及算法
3. 具备良好的逻辑思维能力、沟通能力，做事认真细心
4. 有深度学习、自然语言处理相关经验者优先
5.本科及以上，1年以上工作经验",2024-01-02,智联
大模型AI算法工程师,北京-海淀,15k-30k·13薪,经验不限,本科,"BERT
GPT
PROMPT工程
AUTOGPT
PyTorch
TensorFlow
Python
C/C++
Java
GO",龙软科技,"计算机软件,IT服务,计算机软件,矿产/采掘",300-499人,"职位描述
BERTGPTPROMPT工程AUTOGPTPyTorchTensorFlowPythonC/C++JavaGO
岗位职责：
1.负责当前产品线的代码改进和完善，增强产品的可扩展性；
2.负责系统的功能测试与项目维护；
3.负责项目相关问题的内部系统、外部系统的技术支持，技术培训等；
4.参与产品策划，完成项目的功能设计与脚本化代码实现；
5.协助完成策划方案与需求明细，负责项目开发过程中相关文档的编写；
6.完成上级领导交办的其他任务。
任职条件：
1. 本科及以上学历，计算机，软件工程，信息系统等相关专业优先；
2. 熟悉NLP领域基本模型算法如BERT, GPT等，了解大模型应用技术如Prompt工程，AutoGPT等，对大模型发展及其应用具有浓厚兴趣，愿意积极调研前沿情况；
3. 熟悉常见深度学习框架，如Pytorch, Tensorflow等；
4. 具有基础算法和编程能力，熟悉常见编程语言，包括但不限于Python, C/C++, Java, Go等；
5. 具备良好的沟通表达能力以及团队合作精神，具有强烈的工作责任心。",2024-12-30,智联
AI深度学习算法模型部署工程师,北京-朝阳,15k-30k·15薪,经验不限,硕士,"定位算法
视觉图像算法
PyTorch
Python
C++
自动驾驶",经纬恒润,,无,"职位描述
定位算法视觉图像算法PyTorchPythonC++自动驾驶
岗位职责：
1.负责AI算法模型在嵌入式平台的部署与落地。
任职资格：
1.硕士以上学历，计算机、信息、数学、电子、自动化等相关专业；
2.熟悉C/C++或者Python，熟悉Linux/Unix开发环境；
3.熟悉pytorch等主流Deep Learning训练框架。
职位福利：绩效奖金、年度旅游、五险一金、优秀员工奖、通讯津贴、午餐补助",2024-12-28,智联
AI算法工程师,北京-海淀,30k-50k·14薪,经验不限,本科,,大麦茶(北京)管理咨询有限公司,"互联网,人力资源服务",0-20人,"职位描述
任职要求：
1. 计算机相关专业本科以上学历，精通至少一门语言，Java/C++/Python 等，具有扎实的代码功底；
2. 深入理解主流深度学习算法原理及应用，具有 3 年及以上算法实践及优化经验；
3. 熟悉 Tensorflow/Pytorch 等 AI 算法框架，能够在工业级系统里开发和调优分布式算法；
4. 良好的沟通能力和团队协作能力。
加分项（满足一项即可，多项更佳）：
1. 在国内外一线互联网公司有通过深度神经网络、大语言模型、视觉、语音等算法提升核心业务指标（包括但不限于搜索、推荐、广告、安全等业务）的经验；
2. 有大语言模型预训练、微调、RLHF 实际研究或经验；
3. 在国内外顶级 AI 会议上发表过论文；
4. 在一线公司担任团队或技术负责人；",2024-12-09,智联
