岗位名称,区位,薪资,工作年限,学历,关键词,公司名,企业类别,企业规模,岗位要求,更新时间,来源
AI算法工程师,北京-海淀,20k-35k,经验不限,硕士,"CNN
TensorFlow
PyTorch
数据开发
人工智能、视觉识别
深度学习算法
Python",南京智子引擎信息科技有限公司,人工智能,20-99人,"职位描述
CNNTensorFlowPyTorch数据开发人工智能、视觉识别深度学习算法Python
招聘深度学习，感兴趣随时和我联系~",2023-12-08,智联
AI研究算法工程师-NLP方向,北京-海淀,20k-30k·14薪,3-5年,硕士,"文本分析
PyTorch
DNN
CNN
RNN
C++
Python
大模型",科大讯飞,,无,"职位描述
文本分析PyTorchDNNCNNRNNC++Python大模型
工作职责:
1、负责认知智能及自然语言处理核心算法研究与开发；
2、针对具体业务问题能够结合算法特点，设计合理的落地方案并实施交付；
任职要求:
1、硕上及以上学历，计算机、信号处理数学、软件工程、电子与通信、自动化等相关专业，研究生4年以上/博士3年以上NLP研发相关工作经历，具备较为扎实的自然语言处理、人机交互等领域研究或开发经验，对于个别具备较强NLP/NN技术能力的应聘者不受专业限制；
2、英语六级以上，具备中英文学术论文的调研能力；
3、具备NLP领域实际项目经验，作为项目的主要负责人员进行过相关产品的研发，对深度学习、自然语言处理、大数据等相关领域的最新进展模型、算法有深刻理解和实操经验；
4、熟悉Python、C++等编码语言中至少一种，熟悉Linux下的编程开发环境，熟悉数据结构及常见算法；
5、具备深度学习、强化学习、知识图谱方面的研究经验和基础；同时熟悉pytorch等主流深度学习框架，并具备模型训练调参等相关经验；
6、具有良好的沟通能力和团队合作精神，有过团队管理经验、认真负责，拥有较强的逻辑思维能力，沟通能力较强，责任心强，吃苦耐劳，可接受长期出差。",2023-12-27,智联
AI算法工程师（高级）,北京-海淀,25k-40k·14薪,3-5年,本科,"C++
神经网络
目标跟踪
TensorFlow
Caffe
Shell
PyTorch
机器学习算法",北京崭珀科技有限公司,"人工智能,IT服务,计算机软件,计算机硬件",20-99人,"职位描述
C++神经网络目标跟踪TensorFlowCaffeShellPyTorch机器学习算法
岗位职责：
1) 针对公司业务和运营场景，完成人工智能应用相关算法研发和迭代调优工作。
2) 从事深度学习、统计学习等机器学习算法研究、工程实现和优化等工作，包括各类传统和新型机器学习算法。
3) 负责计算机视觉相关的技术研发工作，包括但不限于：目标检测、语义分割、语义识别。
4) 完成ARM平台算法优化，调整网络结构，减少模型所需的计算资源，提高模型的识别准确率。
任职条件：
1) 统招本科及以上学历，计算机或数学相关专业，熟练掌握计算机视觉、神经网络算法理论基础。
2) 熟悉计算机视觉、机器学习算法，并在以下一个或者多个领域有深入研究，图像分类、目标检测、目标跟踪和图像分割等领域。
3) 熟悉深度学习的框架，例如 Tensorflow, Pytorch, Caffe，SSD，Yolo等。
4) 熟悉业界通用的人工智能和机器学习方案和应用流程，具有根据需求制定算法方案并完成工程开发的能力。
5) 熟练掌握 C/C++ 语言，并至少掌握一种脚本语言，如Python、Shell等。
6) 3年以上AI领域工作经验。
7) 有无人驾驶工作经验优先。
职位福利：创业公司、周末双休、五险一金、带薪年假、节日福利、交通补助、餐补、通讯补助",2023-12-19,智联
AI算法工程师（NLP方向）,北京-海淀,20k-40k,3-5年,硕士,NLP,智联猎头,"互联网,人力资源服务",1000-9999人,"职位描述
NLP
岗位职责：
1） 跟踪AI领域最新研究成果，负责自然语言、语音、视觉等感知模块相融合的算法研究；
（2） 融合自然语言处理与机器视觉、语音技术，针对文本、图像、音视频等多模态信息进行联合解析，构建计算模型，实现视觉与语言信息中的语义识别与整合，应用于图像描述、视觉问答、逻辑推理以及客服问答等AI领域重要任务；
（3） 建立可解释的问答推理模型，包括神经符号推理、图形推理等;
（4） 优化自然语言处理基础模块效果，包括不限于分词、实体识别、语法分析、意图分类等。
任职要求：
1、硕士研究生以上学历，自动化、计算机科学、模式识别、图像处理、多媒体技术等专业方向；
2、熟悉图像处理、模式识别算法，熟悉GPU、OpenCV等图像处理平台；
3、熟悉深度学习主流框架，熟练应用Caffe, TensorFlow或Torch等至少一种框架，具备相关算法开发与应用经验；
4、精通C/C++/Python等编程语言,有丰富的Linux开发经验；
5、积极主动、性格开朗，有良好沟通与团队协作能力，乐于接受挑战；
6、熟练英文读写。",2023-12-21,智联
算法工程师（点云ai方向）,北京-昌平,40k-60k·16薪,经验不限,硕士,"C++
智能驾驶
感知融合
激光雷达感知算法
3D目标检测",广垠(河北)人力资源服务有限公司,证券/期货,0-20人,"职位描述
C++智能驾驶感知融合激光雷达感知算法3D目标检测
工作职责：
1、负责基于深度学习激光雷达点云的3D目标检测、分割、跟踪等算法的研究及迭代计算；
2、负责自动驾驶中激光雷达感知算法的长期研发和迭代，及算法在及时产品中的落地与优化提升；
任职要求：
1、本科及以上学历，要有ai模型训练和使用经验，具备深度学习经验。
2、有至少4年工作经验
3、工作项目涉及激光雷达感知、点云感知、目标检测、深度学习、pointpillar、聚类相关的，涉及其中2个以上
4、有自动驾驶行业（矿山领域更好）从业经验",2023-12-27,智联
AI算法工程师,北京-海淀,12k-15k·15薪,经验不限,硕士,"Python
C++
图像算法
音视频算法
机器视觉",北京和人广智科技有限公司,"网络/信息安全,网络/信息安全",20-99人,"职位描述
PythonC++图像算法音视频算法机器视觉
岗位职责：
1.负责利用深度学习技术开发和优化图像、音频算法，包括图像增强，图像分类，目标检测、动作识别、语音增强，语音分离，语音识别，迭代提升算法性能；
2.负责解决算法在测试中出现的问题，通过数据增强、调参、调整模型结构等方式加快产品落地；
3.负责模型优化裁剪、模型转码整合，用量化、剪枝、算子替换、蒸馏等方式，降低模型算力或存储需求，以便移植到特定硬件平台。
任职资格：
1. 信号处理、图像处理、声学、计算机、物理、电子信息等相关专业，硕士及以上学历；
2. 有图像、声学算法调试，图像、音频信息隐藏相关实习经验的优先；
3.英语阅读能力强，能够调研英文文献。",2023-12-14,智联
算法工程师（AI 大数据 图像 智能车）,北京-海淀,20k-40k·16薪,经验不限,本科,,外企德科,,无,"职位描述
岗位职责
我们致力于软件算法的研究设计，通过算法大幅改善产品体验和性能效率
1、可以对单点算法性能做出极致优化，或具备全局视野，能从 E2E考虑算法应用竞争力体现;
2、负责移动终端设备人工智能、大数据挖掘算法和解决方案的研究、设计、验证和交付;
3、 对传感器在专业运动健康、生物识别、情景感知等技术做出优秀的用户体验。
岗位要求
1、具备人工智能AI算法、大数据算法、数据结构算法设计和开发能力;
2、具备前沿人工智能技术跟踪和业界趋势的跟踪和算法应用能力;
3、至少掌握Java/Python/C其中一种开发语言，掌握Hadoop开源工具使用更佳;
4、至少掌握一种数据挖掘工具和深度模型训练工具,如 Tensorflow.caffe.matlab;
5、具备较强的动手实践能力,能够快速把想法用算法程序的实现;
6、具备挑战不可能的精神和创新意识，主动担责，攻坚破难;
7、具备良好的团队合作精神，善于沟通。",2023-12-31,智联
AI算法工程师,北京-朝阳,20k-35k·14薪,1-3年,硕士,"图像处理
OCR识别
TensorFlow
PyTorch
视觉图像算法
视频算法
Python",邦邦汽服,"互联网,互联网,电子商务,云计算/大数据",500-999人,"职位描述
图像处理OCR识别TensorFlowPyTorch视觉图像算法视频算法Python
主要工作内容
1、负责计算机视觉（图像、OCR）算法设计及优化、模型训练与测试、工程化部署；
2、负责图像分类、图像分割、图像特征工程、ocr识别中的两个或两个以上的方向；
3、针对海量的业务数据，研究数据规律，通过数据清洗、规范化、探索建模实现业务智能化发展；
4、需要开展模型压缩、加速等工作，提高已有算法的性能；
5、负责计算机视觉前沿技术跟踪及论文复现、应用；
6、负责算法系统维护、智能算法后台优化、接口工程实现。
资格要求
1、工作地点：北京；
2、从业时间：1年以上；
3、计算机、自动化、数学、电子信息、模式识别等相关专业，硕士及以上学历；
4、熟悉python、c++编程，有Linux开发经验，熟悉tensorflow\pytorch框架，使用过tensorrt\tf-server进行算法部署；
5、具有扎实的机器学习、深度学习算法基础，熟练常用的算法；
6、具有一定的英文文献阅读能力及较强的学习能力；
7、具有较强团队合作能力，相互配合意识；
8、具备良好的表达能力，善于总结，精准表达。
加分项：
1、有汽车相关背景或汽车保险相关工作经历；
2、有计算机视觉相关高水平论文或专利；
3、对大模型有深刻理解及有过训练和应用经历者优先。",2023-12-27,智联
AI算法工程师,北京-大兴,15k-25k·14薪,经验不限,硕士,"PyTorch
MXNet
CNTK",天源迪科,,无,"职位描述
PyTorchMXNetCNTK
岗位职责：
1、使用 NLP、语音合成和虚拟人相关技术，开发和改进 AI 培训产品。
2、与产品和工程团队紧密合作，将算法应用到实际产品中，提升产品的智能化水平。
3、基于 LLM 开发虚拟人实时交互培训授课产品，与虚拟人口播视频课件生成开发。
4、理解人机交互体验并不断优化性能降低延迟；
工作要求：
1、熟悉实时交互数字人、数字人播报视频制作等虚拟人相关技术，熟练使用视频相关处理技术，FFmpeg、OpenCV等。
2、熟练掌握机器学习和深度学习的基本原理，熟悉常见AI生成模型框架；
3、在数字人相关开源产品开发使用，二次封装等有商用实践经验；如：NeRF、 wav2lip、Fay、SadTalker、video-retalking等等。
4、在内容生成方向有较为深入的研究和探索，富于热情，自驱力强，勇于进行创新实践和技术突破。
5、硕士及以上学历，计算机科学、AI或相关领域的专业背景；
6、扎实的编程基础，良好的工程能力和相关经验。",2023-12-27,智联
AI算法工程师,北京-海淀,50k-70k,3-5年,硕士,"C++
Python
TF
PyTorch",深圳市拓普明途企业管理咨询有限公司,"人力资源服务,人力资源服务,咨询服务",20-99人,"职位描述
C++PythonTFPyTorch
工作职责：
1. 利用公司强大的计算资源，挖掘海量的金融数据，在特征提取、价格预测、组合优化等不同的应用场景实践你的机器学习算法；
2. AI前瞻领域预研与实验；
任职要求：
1. 熟悉任一机器学习分支领域（如统计学习，深度学习，强化学习，组合优化或其他相关前沿技术等）
2. 对量化行业感兴趣，并且有较强的工程实现能力
3. 计算机、数学、统计学或相关专业硕士或博士学位
4. 熟悉C++/Python/Go等一种或多种语言，扎实代码功底和实战能力
5. 熟悉至少一种深度学习框架：TF，pytorch等
职位福利：五险一金、周末双休、弹性工作",2023-12-27,智联
