岗位名称,区位,薪资,工作年限,学历,关键词,公司名,企业类别,企业规模,岗位要求,更新时间
AI安全算法工程师-安全与风控,北京·海淀区·苏州桥,25-50K·15薪,经验不限,本科,Python,北京字节跳动,移动互联网,10000人以上,"职位描述:
1、通过蓝军演练评估 AI系统的安全性，挖掘和利用AI 系统中的漏洞；
2、开发针对 AI 系统的攻击以及漏洞挖掘工具和技术；
3、设计解决AI 系统漏洞的技术和方案；
4、研究针对AI系统的新威胁，包括Prompt注入攻击的原理、实践和防御。
职位要求
1、有1年及以上AI安全相关工作经验，计算机、人工智能和信息安全等相关专业；
2、熟练掌握Python/C/C++，熟悉常用的AI开发框架，具有扎实的数据结构、算法设计和机器学习理论基础；
3、拥有AI系统漏洞挖掘、设计AI系统保护方案、可解释性AI、及AI训练/推理框架设计的一项或多项经验；
4、拥有AI安全相关顶会论文者优先；
5、逻辑思考能力强，善于发现和解决问题，自我驱动。",更新于：2024-01-17
AI算法工程师（政务大模型）,北京·西城区·西便门,35-55K·15薪,经验不限,本科,"计算机相关专业
数学/统计相关专业",中移集成,通信/网络设备,1000-9999人,"岗位描述：
1、政务行业大模型训练数据的收集与梳理；
2、政务行业大模型的预训练与精调，行业专用模型架构设计与实现；
3、政务知识图谱的构建与维护，政务新闻政策信息抽取pipeline搭建；
4、政务大模型应用的工程化应用开发与对接，完成prompt工程开发，完成与外部知识库对接。
任职资格：
1、 计算机相关专业，硕士及以上学历；
2、 具有良好的代码能力，精通各类深度学习框架下，模型研发，熟练掌握Python、Java等至少一种语言，熟练掌握Pytorch、TensorFlow等深度学习框架；
3、 具备快速阅读深度学习相关论文并理解算法的能力；
4、有大模型训练经验者优先；
5、有政务行业人工智能应用经验者优先；",更新于：2024-01-17
ai算法,北京,20-25K·16薪,经验不限,本科,"生物医疗
CNN/RNN/LSTM
R
Shell",某大型医疗器械公司,医疗器械,100-499人,"1. 在眼科AI场景下，实践深度学习或机器学习算法，并针对特定任务进行优化。
2. 了解所需相关行业的前沿发展趋势，组织撰写相关技术文档及展示材料并输出相关专利。
3. （独立选项）该岗位可选择成为项目经理，专门负责产品需求、产品定义等工作。",更新于：2024-01-17
AI算法应用专家,北京,60-90K,1-3年,本科,"C/C++
Python
算法工程化经验",某500强上市公司,电子商务,1000-9999人,"岗位职责：跟踪前沿AI算法进展，并将相应技术赋能到实际的业务场景中。
任职资格：
1. 计算机相关专业，本科及以上学历，2年以上工作经验； 2. 对常见AI任务有一定的实战经验，如意图识别、情感抽取、跨模态检索，并有扎实的理论基础和丰富的研发经验； 3. 对前沿的NLP和多模态技术有一定了解，如LangChain、DeepSpeed、BLIP2、Llama等，有实践经验更佳； 4. 在ICML、ICLR、NeurIPS、CVPR、ICCV、ACL、EMNLP、KDD、SIGIR、RecSys等有人工智能顶会论文发表者优先。",更新于：2024-01-17
AI算法优化专家,北京·大兴区·亦庄,30-60K·15薪,经验不限,本科,研究导向,斑马网络,互联网,1000-9999人,"岗位职责：
-负责智驾算法在GPU/DLA等算力平台上的部署，包括模型量化、模型剪枝等技术
-负责智驾算法端到端性能优化，包括子图优化、算子优化、模型前后处理优化等技术
-与算法团队紧密合作，从性能/精度/部署成本等维度为算法团队提供输入和指标要求
-负责智驾整系统性能调试与优化，解决资源占用、资源竞争等问题，确保整系统达到上车指标
任职资格
-硕士5年以上工作经验，含2年以上AI高性能计算开发经验，且在GPU领域有2年以上开发经验
-熟练掌握C++/CUDA等编程语言，扎实的数据结构与算法能力，熟悉计算机体系架构等基础知识
-熟悉Xavier/Orin计算平台，熟练掌握TensorRT推理引擎，并有GPU/DLA算子开发经验者优先
-熟悉cuDNN、Cutlass等任一高性能算子库，并有相关开发经验者优先
-良好的发现问题、解决问题、团队协作和沟通能力。",更新于：2024-01-17
ai高级算法工程师,北京,40-70K,经验不限,本科,"搜索/推荐
计算机相关专业
数学/统计相关专业
机器学习算法/工程化经验",某500强上市公司,基金,100-499人,"职位描述
工作职责：
1. 挖掘海量的金融数据，在特征提取、价格预测、组合优化等不同的应用场景实践你的机器学习算法；
2. AI前瞻领域预研与实验；
任职要求：
1. 熟悉任一机器学习分支领域（如统计学习，深度学习，强化学习，组合优化或其他相关前沿技术等）
2. 对量化行业感兴趣，并且有较强的工程实现能力
3. 计算机、数学、统计学或相关专业硕士或博士学位
4. 熟悉C++/Python/Go等一种或多种语言，扎实代码功底和实战能力
5. 熟悉至少一种深度学习框架：TF，pytorch等
PS：不要求金融背景，公司打造的研究框架让你可以迅速上手并专注于机器学习的应用
如果你有以下经历 ，将大大加分：
ACM/ICPC/NOIP/NOI等赛事获奖选手；
在计算机顶会或者顶刊有论文发表；
有中型以上规模的机器学习算法应用调优经验，如搜索/推荐/广告/图像；",更新于：2024-01-17
银行正编！算法工程师 人工智能,北京,20-40K,经验不限,本科,"机器学习算法/工程化经验
数学/统计相关专业
计算机相关专业",某500强上市公司,互联网金融,1000-9999人,"""岗位职责：
1、参与软件开发项目的具体实施；
2、负责程序编码开发工作，参与技术测试工作；
3、负责支持系统的推广培训等工作；
4、负责系统上线后升级维护需求的实施；
5、主要为银行核心业务、公司业务、中间业务、零售业务、金融市场、电子渠道及海外业务等开发项目进行系统分析与开发工作。""
""1、本科及以上学历，计算机及相关专业，两年及以上相关工作经验，
2、熟练掌握Java语言、C语言、C++、C#等开发语言，熟悉UNIX或LINUX操作系统，掌握MySQL、Oracle或其他数据库；
3、分布式方向：需熟练掌握Java语言，了解GO语言，熟悉Spring、Mybatis、HTML5等前后端开源框架，具备企业级分布式服务框架及服务治理领域开发经验者优先，具备分布式服务架构，Istio,Spring Cloud，Consul，ElasticSearch及分布式消息队列等框架及技术开发技能者优先；
4、前端方向：需三年以上web、安卓或IOS开发工作经验，精通web、Android App或IOS APP开发框架和开发模式，了解开发平台、Framework和底层设计原理，多线程、网络等相关知识；
5、JAVA平台方向：需熟练掌握Java语言及SSM等开源框架，熟悉http、socket等通讯协议，了解Restful，熟悉HTML5 、Jquary、Bootstrap、VUE等前端技术或框架，在底层技术平台领域具有开发经验者优先;
6、C语言平台方向：具备较强的UNIX或Linux C语言开发及系统设计能力，熟悉多进程通信、消息队列、socket通信等，熟悉嵌入式C语言数据库编程，具备shell脚本编程能力，三年以上相关开发经验；
7、人工智能方向：需有自然语言处理/计算机视觉/模式识别与分类相关教育背景和工作经验。熟悉TensorFlow、Keras等框架，熟练掌握Spark ML/MLLib 工具包，熟悉通过机器学习提升传统模型的精度、算法开发与优化过程，熟悉GBDT/XGboost/LSTM/CNN/RNN算法模型并有项目经验者优先；
8、安卓客户端方向：有扎实的Java和Kotlin语言基础，熟悉常用数据结构和算法；精通多线程和网络编程，对高性能程序设计、架构设计有较多经验，能快速搭建、调试或重构大规模软件代码；掌握数据加密、代码混淆、防破解、性能优化等技术；熟悉Android系统体系结构、framework、底层库；熟悉android系统打包编译、插件化、热修复等主流技术原理，对android系统框架、对客户端稳定性和性能优化有经验者优先；
9、苹果客户端方向：熟练掌握OC、Swift（有实际项目经验），并了解其底层原理如内存模型和内部实现原理，以及编译过程；精通iOS SDK中的UI、网络、XML/JSON解析等开发技术；对设计模式MVC，MVVM、APP架构，APP性能检测，Crash方案，解耦方案等有经验者优先；
10、有银行项目实施经验者优先；具备较强的工作责任心和团队合作意识，抗压能力强，具有较强分析问题和解决问题的能力，具备良好的协调沟通能力；""",更新于：2024-01-17
AI图形学算法工程师,北京·朝阳区·大望路,15-25K,经验不限,本科,"计算机相关专业
数学/统计相关专业
英文读写能力良好
Stable diffusion
AIGC
CV算法",森博公关,广告/公关/会展,100-499人,"职位概述：
我们正在寻找一位具备Stable diffusion使用及算法开发经验的算法工程师，加入我们充满活力的AI产品团队。理想候选人需要拥有扎实的CV算法基础，具备Controlnet等训练经验，可以配合主美自定义训练AIGC做图模型并进行应用。
任职要求：
1、人工智能、深度学习/机器学习、计算机视觉、数学等相关专业本科及以上学历；
2、掌握Stable Diffusion基础原理，根据需求对业务进行分解，利用已有AI相关技术做预处理，最终生成合格的作品
3、掌握Dream booth、Textual Inversion、Hypernetworks、LoRA、segmentation等finetune方法的原理以及优缺点，可以根据应用场景训练模型
4、掌握ControlNet，腾讯T2I-Adapter等控制类原理，具备自定义训练一个ControlNet的经验
5、有良好的自我学习能力及自驱力，对前沿领域有强探索欲，有团队合作精神
6、加分项：有参与AIGC落地的丰富经验，切实产生业务价值案例的
我们提供：
具有竞争力的薪资待遇和福利；
宽松、友好的工作氛围和优秀的团队文化；
丰富的职业发展机会和技术挑战；
定期的团队活动和交流分享；
其他员工福利。",更新于：2024-01-17
ai算法工程师,北京·海淀区·北京大学,18-25K,经验不限,本科,Python,青鸟职业教育,培训/辅导机构,100-499人,"工作内容：1.针对职业技术培训领域大模型的特点和应用场景，设计并可以不断优化精进模型的prompt，并提升模型在特定任务的性能。
2.基于国内外最新研究成果，落地搜索增强、嵌入模型和VD的实现。
3.设计处置领域大模型评估方案并负责模型评估工作，确保大模型测评结果与实际场景体验一致。
4.辅助设计基于大模型的应用产品生态体系，例如智能文档，面试辅助等。
5.参与大模型应用领域相关产品技术方案的研究与创新，竞品的调研和分析，支持业务的快速迭代。
6.收集职业教育领域数据，收集ChatGPT、MidJourney等AI提示词并验证，以工程的方式进行管理。
7.协助产品经理完成部分产品工作，如用户访谈、竞品调研、课程内容规划研究等。
岗位职责：1.针对职业技术培训领域大模型的特点和应用场景，设计并可以不断优化精进模型的prompt，并提升模型在特定任务的性能。
2.基于国内外最新研究成果，落地搜索增强、嵌入模型和VD的实现。
3.设计处置领域大模型评估方案并负责模型评估工作，确保大模型测评结果与实际场景体验一致。
4.辅助设计基于大模型的应用产品生态体系，例如智能文档，面试辅助等。
5.参与大模型应用领域相关产品技术方案的研究与创新，竞品的调研和分析，支持业务的快速迭代。
6.收集职业教育领域数据，收集ChatGPT、MidJourney等AI提示词并验证，以工程的方式进行管理。
7.协助产品经理完成部分产品工作，如用户访谈、竞品调研、课程内容规划研究等。",更新于：2024-01-17
ai算法工程师（人脸识别方向）,北京,20-40K·15薪,经验不限,本科,"机器学习
图像算法
自然语言处理算法
Python
CV
人脸识别
图像处理",某大型企业服务公司,企业服务,100-499人,"工作职责
1. 负责人脸识别和肢体检测相关算法的持续优化迭代；
2. 了解跟进AI/CV技术进展，推动CV算法在实际应用场景中落地。
任职资格
1. 统招本科及以上学历，计算机、数学、自动化等相关专业；
2. 具有扎实的图像处理和机器学习优化算法基础，有目标检测、关键点检测等方向项目落地经验，有模型部署相关经验；
3. 具有良好的计算机基础和编程能力，熟练使用Python语言，熟悉PyTorch/TensorFlow等深度学习框架，熟悉C/C++，有Linux平台下的开发经验；
4. 具有优秀的分析问题和解决问题的能力，具有良好的沟通能力和团队协作能力。",更新于：2024-01-17
