岗位名称,区位,薪资,工作年限,学历,关键词,公司名,企业类别,企业规模,岗位要求,更新时间
AI图形学算法工程师,北京·朝阳区·大望路,15-25K,经验不限,本科,"计算机相关专业
数学/统计相关专业
英文读写能力良好
Stable diffusion
AIGC
CV算法",森博营科,广告/公关/会展,100-499人,"职位概述：
我们正在寻找一位具备Stable diffusion使用及算法开发经验的算法工程师，加入我们充满活力的AI产品团队。理想候选人需要拥有扎实的CV算法基础，具备Controlnet等训练经验，可以配合主美自定义训练AIGC做图模型并进行应用。
任职要求：
1、人工智能、深度学习/机器学习、计算机视觉、数学等相关专业本科及以上学历；
2、掌握Stable Diffusion基础原理，根据需求对业务进行分解，利用已有AI相关技术做预处理，最终生成合格的作品
3、掌握Dream booth、Textual Inversion、Hypernetworks、LoRA、segmentation等finetune方法的原理以及优缺点，可以根据应用场景训练模型
4、掌握ControlNet，腾讯T2I-Adapter等控制类原理，具备自定义训练一个ControlNet的经验
5、有良好的自我学习能力及自驱力，对前沿领域有强探索欲，有团队合作精神
6、加分项：有参与AIGC落地的丰富经验，切实产生业务价值案例的
我们提供：
具有竞争力的薪资待遇和福利；
宽松、友好的工作氛围和优秀的团队文化；
丰富的职业发展机会和技术挑战；
定期的团队活动和交流分享；
其他员工福利。",更新于：2024-03-12
气象AI算法工程师,北京·海淀区·西北旺,25-35K,经验不限,本科,"深度学习
大模型算法
图像算法
自然语言处理算法
气象算法
Python
算法工程化经验
发表算法相关优秀论文
参加算法相关竞赛/获奖",北京中科星图维天...,计算机软件,,"工作职责
1. 负责气象/海洋/生态/空间天气等领域的AI算法应用研究；
2. 负责AI算法的调研、应用；
3. 协助气象服务系统的开发，应用。
任职资格
1.具有气象、物理、计算机等相关专业研究生以上学历;
2.熟悉气象领域AI算法的基本理论；
3.具有算法运行开发经验，对AI算法应用中出现的问题能迅速定位，并根据已有经验进行解决;
4.了解跟踪AI领域前沿，可对各类资料进行分析和处理
5.熟悉使用linux系统、shell脚本编程及算法常用的工具（Python，Tensorflow等）。
加分：
1.熟练掌握python者优先
2.熟练掌握气象预报相关数值模式者优先",更新于：2024-03-12
ai平台算法工程师,北京·西城区·阜成门,20-40K,3-5年,本科,"C/C++
算法工程化经验
Python",阜外医院,医疗健康,1000-9999人,"主要职责：
1.设计训练，推理架构等人工智能相关基础服务组件，并进行研发落地。
2.优化模型的训练，推理效率等相关技术，提升模型推理效率，降低资源使用。
3.将复杂的技术解决方案沉淀成技术组件或中间件，提供给团队使用。
4.研究新技术，并转换成可落地的解决方案，帮助技术团队保持与时俱进。
任职要求:
1.本科以上学历，计算机相关领域专业背景，编程基础扎实，有3年以上Python/C++开发经验；对linux系统的基础知识有一定的掌握。
2.对机器学习/深度学习有一定的了解，了解常用的大模型相关技术，了解常用的深度学习框架和库，如Deepspeed、PyTorch等。
3.熟悉分布式系统的设计，了解云原生，容器化等相关技术。
4.学习能力强，能快速学习掌握新的业务领域知识。具有医疗行业背景优先。",更新于：2024-03-13
AI高级算法工程师,北京·朝阳区·望京,30-60K·13薪,经验不限,本科,"大模型算法
自然语言处理算法
分布式训练
SQL
参加算法相关竞赛/获奖
发表算法相关优秀论文",伊对,社交网络,100-499人,"职位描述
1、利用 NLP 技术在大量文本中进行数据挖掘及文本处理，包括文本相关性模型、命名实体识别等
2、承担预训练模型的训练、开发和调优工作,包括但不限于:prompt 设计、大模型 finetuning、大模型训练
3、紧跟前沿 NLP 生成技术，解决实际应用场景中的内容生成问题
4、负责对话系统平台搭建和研发工作
5、负责业内先进的语音合成算法研究，探索个性化TTS、情感化TTS、风格化TTS等前沿技术
职位要求
1、计算机相关专业硕士、博士或者优秀本科
2、熟练掌握 Python/C++/Java 中至少一门语言，熟练掌握 tensorlow/pytorch/keras 等深度学习框架
3、熟悉 BERT系列以及GPT 系列等预训练模型，熟悉 Transformer 等深度学习模型，熟悉主流文本生成的原理和方法，有结合业务的落地经验者优先
4、熟悉vits系列模型、Edge-TTS、Bert-vits2、声码器、fastspeech等模型或者开源库
5、过往有参与过大型对话系统、大横型训练和部罢经验者优先
6、有 ACL、EMNLP、ICLR 等会议论文发表者优先
7、良好的自驱力，较强的团队合作精神",更新于：2024-03-12
AI算法工程师（NLP方向）,北京·西城区·宣武门,15-30K·14薪,1-3年,本科,"机器翻译
推荐算法
文本生成
Python
Golang
大数据处理工具(Spark/Hadoop/Hive)
深度学习
机器学习
大模型算法
优秀开源项目经历
算法工程化经验
模型加速/性能优化",UMU,企业服务,100-499人,"岗位职责：
1. 从事自然语言处理、知识图谱等领域前沿算法的研究，探索人工智能技术的创新和落地应用；
2. 从业务场景和实际问题出发，利用自然语言处理和知识图谱技术，服务于UMU核心AI产品，如AI陪练、AI微课等；
3. 构建知识图谱平台，将智能服务的能力赋予更多的产品和用户。
任职责格：
1. 掌握自然语言处理、信息检索、深度学习理论，实现相关算法技术的落地和应用；
2. 掌握知识图谱相关算法，包括但不限于实体识别、关系抽取、语义消歧、实体链接、知识推理等算法模块研究与优化；
3. 责任心强，积极主动，有良好的沟通协调能力；
4. 本科及以上学历，计算机相关专业，社招1年以上NLP工作经验。",更新于：2024-03-12
ai算法工程师,北京·海淀区·北京大学,18-25K,经验不限,本科,Python,青鸟职业教育,培训/辅导机构,100-499人,"工作内容：1.针对职业技术培训领域大模型的特点和应用场景，设计并可以不断优化精进模型的prompt，并提升模型在特定任务的性能。
2.基于国内外最新研究成果，落地搜索增强、嵌入模型和VD的实现。
3.设计处置领域大模型评估方案并负责模型评估工作，确保大模型测评结果与实际场景体验一致。
4.辅助设计基于大模型的应用产品生态体系，例如智能文档，面试辅助等。
5.参与大模型应用领域相关产品技术方案的研究与创新，竞品的调研和分析，支持业务的快速迭代。
6.收集职业教育领域数据，收集ChatGPT、MidJourney等AI提示词并验证，以工程的方式进行管理。
7.协助产品经理完成部分产品工作，如用户访谈、竞品调研、课程内容规划研究等。
岗位职责：1.针对职业技术培训领域大模型的特点和应用场景，设计并可以不断优化精进模型的prompt，并提升模型在特定任务的性能。
2.基于国内外最新研究成果，落地搜索增强、嵌入模型和VD的实现。
3.设计处置领域大模型评估方案并负责模型评估工作，确保大模型测评结果与实际场景体验一致。
4.辅助设计基于大模型的应用产品生态体系，例如智能文档，面试辅助等。
5.参与大模型应用领域相关产品技术方案的研究与创新，竞品的调研和分析，支持业务的快速迭代。
6.收集职业教育领域数据，收集ChatGPT、MidJourney等AI提示词并验证，以工程的方式进行管理。
7.协助产品经理完成部分产品工作，如用户访谈、竞品调研、课程内容规划研究等。",更新于：2024-03-12
AI 算法支持工程师,北京·海淀区·学院路,15-30K·14薪,3-5年,本科,"Python
C/C++
AE
AI模型",超星未来Novauto,计算机软件,20-99人,"岗位职责：
1. 辅助用户迁移其AI模型或者核心算法；
2. 追踪业界领先的AI模型并可以在自有平台上进行部署及优化；
3. 开发适用于行业应用的框架工具；
4. 进行竞品分析和评测，发掘产品特点和优势；
5. 帮助产品和研发团队收集客户需求，并将其转化为技术规格。
任职要求：
1. 全日制硕士及以上学历，人工智能、计算机、电子信息或相关专业；
2. 一年以上工作经验，有计算机视觉、深度学习、嵌入式开发项目经验优先；
3. 熟悉Python/C++，熟悉Linux操作系统和开发工具，能熟练使用Git等工具；
4. 具备良好的学习能力和沟通能力，有团队合作精神。",更新于：2024-03-13
AI算法(J12805),北京·海淀区·上地,15-28K,1-3年,本科,"大模型算法
深度学习
机器学习
自然语言处理算法
Python
C/C++
算法工程化经验",启明星辰,信息安全,1000-9999人,"工作职责:
1、负责自然语言处理(NLP)、大模型等相关算法在网络安全领域的研究和应用开发落地工作；
2、负责大模型的微调算法的开发和优化；
3、基于LangChian和Autogpt等相关大模型应用框架基础上结合业务需求进行二次开发；
4、负责大模型上层相关应用的开发和落地工作，应用场景包括文本摘要、文本生成、机器阅读理解、问答、多轮对话等；
5、基于行业用户真实场景和需求设计和开发有效的机器学习和深度学习人工智能安全分析算法
任职资格:
1、本科及以上学历，计算机相关专业毕业；
2、具备NLP算法基础、LLM大模型、GPT系列等算法知识，熟悉常见的机器学习算法、NLP深度学习算法和相关工具，熟练掌握Transformer系列模型架构和原理，如SVM、RNN、LSTM、Word2Vec、Bert等；
3、在机器学习、深度学习、强化学习、NLP至少一个领域有较为深入的理解和工作经验，能独立解决思考、规划和解决工作问题；
4、在推荐、搜索广告、智能客服、个人助手、文本挖掘、文本分类等至少有一个业务场景有项目经验
5、了解大模型基础知识及常见微调手段，熟悉ChatGLM、LLama等模型微调训练、优化方案的优先。
7、了解大模型问答系统中意图识别、信息抽取、向量检索、langchain和代理agents等相关应用技术；
8、熟悉Pytorch、Huggingface、Deepspeed等相关技术栈；
9、有责任心，有独立思考解决方案者优先，推动相关技术的落地；
10、有华为昇腾平台算法开发经验的优先",更新于：2024-03-12
ai算法工程师（人脸识别方向）,北京,20-40K·15薪,经验不限,本科,"机器学习
图像算法
自然语言处理算法
Python
CV
人脸识别
图像处理",某大型企业服务公司,企业服务,100-499人,"工作职责
1. 负责人脸识别和肢体检测相关算法的持续优化迭代；
2. 了解跟进AI/CV技术进展，推动CV算法在实际应用场景中落地。
任职资格
1. 统招本科及以上学历，计算机、数学、自动化等相关专业；
2. 具有扎实的图像处理和机器学习优化算法基础，有目标检测、关键点检测等方向项目落地经验，有模型部署相关经验；
3. 具有良好的计算机基础和编程能力，熟练使用Python语言，熟悉PyTorch/TensorFlow等深度学习框架，熟悉C/C++，有Linux平台下的开发经验；
4. 具有优秀的分析问题和解决问题的能力，具有良好的沟通能力和团队协作能力。",更新于：2024-03-12
ai算法工程师,北京·朝阳区·安贞,14-18K,经验不限,本科,"图像算法
Python",中嘉数创,广告/公关/会展,100-499人,"岗位要求：
1、计算机、数学、软件工程或相关专业硕士及以上
2、有扎实的基础知识与算法基础，熟练使用各种编程语言开发
3、了解常用机器学习、深度学习或数据挖掘等算法
工作内容：
1、全程参与软件项目的需求分析、设计、开发及测试等几个阶段；
2、整合并优化项目开发所需各种资源、技术架构，负责保障代码质量，软件项目的持续优化、改进工作;
3、确保服务器正常运行；
4、思考应用场景并提出新idea，结合实际业务场景制定合理解决方案；
5、主要包括但不限于：OCR、人脸识别，肢体识别、手势识别、目标检测、图像分割、图像识别、美颜特效、图像风格迁移等技术研发落地；
岗位要求：
1、本科以上学历，计算机相关专业；
2、熟练掌握C/C++、Python、java等编程语言至少一门编程语言；熟悉OpenCV，以及常用图像处理方法；
3、熟悉深度学习基础知识和经典网络模型，熟练至少一种深度学习工具，例如TensorFlow、PyTorch、PaddlePaddle等
4、熟练Java语言及各种主流框架如SpringBoot等主流框架，有熟悉前端技术，如小程序，Vue等前端技术框架者择优考虑；
5、熟练使用MySQL数据库，有SQL开发经验；
6、熟练liux的基本操作，如开机程序启动配置，shell脚本的编写；
7、有nlp、推荐相关经验者加分；",更新于：2024-03-12
