岗位名称,区位,薪资,工作年限,学历,关键词,公司名,企业类别,企业规模,岗位要求,更新时间
AI图形学算法工程师,北京·朝阳区·大望路,15-25K,经验不限,本科,"计算机相关专业
数学/统计相关专业
英文读写能力良好
Stable diffusion
AIGC
CV算法",森博公关,广告/公关/会展,100-499人,"职位概述：
我们正在寻找一位具备Stable diffusion使用及算法开发经验的算法工程师，加入我们充满活力的AI产品团队。理想候选人需要拥有扎实的CV算法基础，具备Controlnet等训练经验，可以配合主美自定义训练AIGC做图模型并进行应用。
任职要求：
1、人工智能、深度学习/机器学习、计算机视觉、数学等相关专业本科及以上学历；
2、掌握Stable Diffusion基础原理，根据需求对业务进行分解，利用已有AI相关技术做预处理，最终生成合格的作品
3、掌握Dream booth、Textual Inversion、Hypernetworks、LoRA、segmentation等finetune方法的原理以及优缺点，可以根据应用场景训练模型
4、掌握ControlNet，腾讯T2I-Adapter等控制类原理，具备自定义训练一个ControlNet的经验
5、有良好的自我学习能力及自驱力，对前沿领域有强探索欲，有团队合作精神
6、加分项：有参与AIGC落地的丰富经验，切实产生业务价值案例的
我们提供：
具有竞争力的薪资待遇和福利；
宽松、友好的工作氛围和优秀的团队文化；
丰富的职业发展机会和技术挑战；
定期的团队活动和交流分享；
其他员工福利。",更新于：2024-02-23
AI算法工程师,北京,20-40K·16薪,1年以内,本科,"大模型算法
深度学习
机器学习
自然语言处理算法
图像算法
推荐算法
Python
算法工程化经验
优秀开源项目经历",某500强上市公司,计算机软件,10000人以上,"【工作职责】
1、 面向CBG供应链、风控、用户经营、用户声音、零售、渠道等相关领域和产品，通过AI相关的算法推动CBG的商业数字化和智能化转型；
2、 准确把握数据挖掘领域发展趋势，识别和关注当下的关键需求及关键技术，与公司核心部门及顶级高校进行技术合作、交流，优势互补，使能商业成功；
3、 技术算法平台建设，收集并整理各类数据构建业务数据池，集成业界主流的数据处理、算法模型技术，形成通用化的核心AI智能化处理平台。
符合但不局限于以下人工智能及优化方向：
a) 机器学习方向：
1、熟悉数据分析、特征工程等相关数据挖掘流程，同时熟悉回归，聚类，分类，推荐等机器学习算法实现，对常见的算法理解透彻；
2、从事机器学习算法和理论前沿研究及应用。研究领域包括但不限于：监督学习、半监督学习、联邦学习、时序预测、异常检测、元学习、AutoML、 深度学习、强化学习及模式识别等；
b) 自然语言处理/语音语义方向：
1、从事但不限于文本分析、情感分析、实体抽取及关联抽取、语言消歧、机器翻译、对话和问答系统、深度自然语言处理、多模态语义理解、知识图谱等方向的应用研究和开发工作；
2、负责自然语言处理核心算法及平台的设计与研发，提升自然语言相关产品的核心竞争力和用户体验；
c) 运筹优化方向：
1、负责运筹优化方向的算法研究和开发，包括但不限于资源分配、路径优化、调度优化、智能分货、库存管理、定价策略及仿真平台构建等相关项目；
2、熟悉组合优化、动态规划、启发式优化、随机优化、博弈论等算法能力；
d）推荐搜索方向：
1、从事但不限于包括用户画像、用户建模、精准营销、lookalike、目标人群选择，个性化的推荐，CTR预估等相关项目的算法研究与实现；
2、洞察推荐系统和信息检索技术在工业级产品的有效解决方案；洞察学术界推荐系统和信息检索的最新研究成果，满足业务需求；
e) AI平台/性能优化方向：
1、算法优化：负责AI算法中计算在CPU/GPU/NPU等处理器上的计算性能优化，基础库设计；负责CNN/RNN/RL等模型的效果评估分析；负责持续跟踪业界最优实现，超越并创新；
2、系统平台：负责AI相关系统平台的设计、开发和优化工作，在性能和易用性等指标上做好平衡；负责持续跟踪业界最优实现，超越并创新；负责和上下游客户对接，持续提升平台的性能和表现。
【任职要求】
业务技能要求：
1、具备较强的沟通能力和需求分析能力，有将业务需求转化为场景解决方案并驱动落地的实践经验；
2、参与过完整的算法类项目的建模、设计和开发；
3、富有激情和技术追求，具有优秀的问题分析能力、创新能力和动手能力，提出过相关领域改进和扩展技术方案；
4、对数据有一定的敏感及洞察能力。
专业知识要求：
1、过硬的科研背景和扎实的算法基础，有相关科研成果（如相关论文、专利或者报告）优先；
2、具备扎实的编程实现能力，熟练使用C/C++、Python、Scala、Java等编程语言，对Hadoop、Hive、Spark、Storm等大规模数据存储与运算平台有实践经验。",更新于：2024-02-25
人工智能机器学习深度算法电子单片机工程师,北京·海淀区·上地,11000-15000元/月,1-3年,大专,"深度学习
语音算法
推荐算法
图像算法
MATLAB
Python",俏嘴娃电商,计算机软件,0-20人,"工作周期：长期兼职
每周工期：无要求
工作时间：不限
工作时段：不限
结算方式：完工结
招聘截止时间：2024-12-31
【任职要求】
1、熟悉深度学习、机器学习等算法并能应用设计与开发，人工智能相关专业本科及以上学历。
2、熟悉C++、Python、Linux等编程语言开发。
2.多劳多得，薪酬只多不少；只要你有专业能力
4.做的多，得的多，前期会有专门的人和你沟通。
5.公司长期招C/单片机/物联网/PLC等专业人员。
【 时间自由 】欢迎咨询，长期有效。",更新于：2024-02-25
AI 算法运营实习生/兼职,北京·朝阳区·三里屯,150-200元/天,经验不限,本科,"深度学习
机器学习
大模型算法
Python
Java
C/C++
算法工程化经验",OpenBayes贝式计算,计算机软件,20-99人,"工作周期：3个月
每周工期：无要求
工作时间：不限
工作时段：工作日
结算方式：日结
招聘截止时间：2024-04-20
岗位职责：
1. 负责 OpenBayes 官网公共教程本土化，包含撰写教程简介、代码跑通、结果复现等
2. 参与模型收集整理，提高官网教程的可维护性和可读性
3. 配合完成其他开发及定期维护工作。
任职要求:
1. 本科及以上学历，统计学、数学、计算机科学或其他相关专业优先；
2. 熟悉 Python，有良好的代码能力，了解 Linux 系统，熟悉机器学习基本知识，使用过 pytorch、sklearn 等算法库，做过机器学习项目；
3. 熟悉 GitHub、HuggingFace、jupyter 等常见平台及工具；
4. 具备良好的英文文献阅读能力优先；
5. 性格开朗，责任心强，有良好的执行能力和沟通能力，具备团队协作能力和学习能力，能够快速适应工作内容;
6. 实习期至少 3 个月
职位诱惑:
该岗位为算法与运营相结合的岗位，可远程实习，无需坐班，可提供实习证明，薪资面谈
面试信息:
面试方式：可远程面试
面试轮数：1-2 轮面试，1 轮笔试
时间安排：一天内完成",更新于：2024-02-23
算法/AI讲师（深度学习/机器学习方向）,北京·朝阳区·高碑店,15-30K,1-3年,本科,"机器学习
深度学习
自然语言处理算法
图像算法
Python
算法工程化经验
参加算法相关竞赛/获奖
职业技能培训
在线教育",赋范空间,培训/辅导机构,20-99人,"岗位职责：
1. 深入研究机器学习/深度学习/人工智能各大应用领域的前沿/实用技术，围绕顶尖技术研发市场一流的课程与教学内容（课件/代码），涉及领域包括但不限于集成算法、特征工程、计算机视觉、自然语言处理、深度时间序列、生成式模型、推荐系统、强化学习、图神经网络等前沿领域
2. 实践各类机器学习/深度学习算法前沿应用、参与海内外各类机器学习/深度学习前沿竞赛，围绕应用结果与竞赛结果研发市场一流的算法实践课程内容（课件/代码）
3. 完成机器学习/深度学习各类前沿领域的教学、授课工作，包括但不限于录制课程视频、完成课程直播、完成公开课直播、完成体验课等各种形式的授课工作
4. 协助追踪机器学习/深度学习各类前沿领域的行业动态、技术进步，协助制作基于行业前沿信息的通识类课程与教学内容（课件/代码/视频/直播），协助向行业传递技术视野与技术观点
5. 协助完成机器学习/深度学习领域课程的价值宣传工作，包括但不限于录制课程介绍视频、进行课程介绍直播、整理课程卖点、输出课程价值等各种形式的宣传工作
6. 协助完成机器学习/深度学习领域课程的辅导工作，包括协助课程答疑、指导课程项目、协助产出课程习题等各种服务性质工作
任职要求：
1. 拥有本科及以上学历
2. 至少2年以上算法授课经验或算法行业工作经验，对机器学习/深度学习/人工智能技术有一定理解；
3. 具有较强的学习能力与思考能力，能够短时间内掌握全新知识、快速获取对新兴领域的理解和洞察
4. 具有较强的逻辑能力与表达能力，能够将复杂知识抽丝剥茧、化繁为简，或能够传递观点、引导共情
5. 形象好气质佳，同时兼备亲和力与专业能力，能够把握用户注意力、与用户愉快沟通
6. 有意愿和能力不断挑战自我、突破自我、不断提升自己的知识、技能水平和职场成熟度
7. 对教育或技术传播有一定的了解和较强的认可，具备一定的服务意识和团队协作意识
福利待遇：
1. 底薪15K+奖金，试用期3-6个月
2. 90后年轻团队、不定期下午茶、弹性工作
3. 入职后购买六险一金、带薪年假等
4. 提供带薪培训、沉浸式学习最前沿技术、积累个人技术能力",更新于：2024-02-25
初级AI算法工程师,北京·西城区·宣武门,12-16K,1-3年,本科,"深度学习
机器学习
Python
C/C++",慧流科技,计算机软件,20-99人,"岗位职责:
1.负责人工智能领域相关研究与应用；
2.设计、训练和测试机器学习、深度学习算法模型；
3.负责AI模型的应用设计、开发和维护；
4.参与AI平台架构设计和路标规划及产品方案设计工作;
5.负责或参与完成AI项目、AI产品的研发、调优、落地等工作；
岗位要求：
1.计算机、应用数学、人工智能、统计学等相关专业，本科及以上学历;
2.能够熟练使用Python、C++等开发语言中的一种或多种语言; 了解主流机器学习算法;
3.具有深度学习、数据建模相关项目经验，了解pytorch、tensorflow等深度学习框架中的一种或多种；
4.具有一定的Linux命令操作基础，可在Linux环境下完成各种模型训练与推理测试实验；
5.熟悉Flask、Django等web框架中的一种或多种；
6.有AI系统/平台架构、核心模块开发设计经验参与过中大型人工智能相关项目研究与开发经验优先；
7.工作细致、责任心强，有较强的沟通与执行能力，有团队合作精神；
8.对AI有浓厚兴趣，致力于往AI方向发展；",更新于：2024-02-25
AI+药物研发算法工程师,北京,45-65K,1-3年,硕士,"TensorFlow/PyTorch
计算机相关专业
研究导向
深度学习经验
数学/统计相关专业",某大型医疗器械公司,医疗器械,,"职位描述（有比较强的使用transformer或者大语言模型进行自然语言处理算法）
1. 从事制药领域前瞻性算法开发；
2. 开发/应用机器学习/深度学习的算法来辅助药物靶点识别和临床信息整理；
3.与内部药物研发团队合作，通过构建机器学习/深度学习的模型，解决生物医学问题
4. 跟踪行业最新动态；
5. 参与其他算法相关项目。
任职要求
学历及专业：
学历：硕士及以上
专业：计算机，数学，统计学，生物学，化学，医药学，物理学等专业。复合专业背景优先，如计算生物学，生物信息学，分子生物学，结构生物学，计算化学，计算生物物理学，生物物理学，系统生物学，物理化学，化学信息学，药学信息学或者组合专业等，
至少具备以下三组专业技能之一：
专业技能1：
1. 熟悉机器学习/深度学习相关工具，比如Tensorflow，Scikit-learn，Pytorch等；
2. 有使用机器学习深度学习工具做药物研发的经验优先；
3. 熟悉核心机器学习领域相关理论，比如Artifical Neural Networks，Supervised/Unsupervised learning methods，SVM，Bayesian approaches，Decision Theory等；
4. 具有较强的编程能力，熟练掌握Python/C/C++/JAVA等相关语言；
5. 熟悉分子生物学，基因组学或者药物研发相关科学优先。
专业技能2：
1. 熟练使用分子动力学模拟软件或分子对接软件，如Pymol、GROMACS、AMBER、Rosetta、Schrödinger软件等。
2. 熟悉基于结构/配体的药物设计方法，如同源建模、分子对接、虚拟筛选、QSAR、药效团模型、分子动力学、结合自由能等。
3、熟悉药物筛选及药物设计的方法和流程；
4. 具有较强的编程能力，熟练掌握python/C/C++/JAVA等相关语言；
5. 具有计算机辅助药物设计经验者优先。
专业技能3：
1. 熟练使用化学信息学工具包，如RDKit，Openbabel等。
2. 熟悉药学、生物学相关数据库，如chEMBL，PDB，KEGG，OMIM等。
3. 在以下一个或多个领域有相关经验：虚拟筛选，基于计算的先导化合物优化，药物设计，分子动力学，量子力学，化学信息学或ADMET/QSAR；
4. 具有较强的编程能力，熟练掌握python/C/C++/JAVA等相关语言；",更新于：2024-02-25
cv算法工程师(自研AI),北京·海淀区·上地,11-22K·13薪,1-3年,本科,"深度学习
自然语言处理算法
C/C++
Python",易道博识,移动互联网,20-99人,"工作职责:
使用深度学习进行前沿计算机视觉技术研究，包括但不限于分类、检测、分割、文字识别 (OCR)、人脸识别等技术方向。
工作要求:
1.985或211本科及以上学历，计算机/电子/自动化/通讯/模式识别等相关专业，应届或1-3年经验；
2.孰悉CNN/RNN/GNN/Transformer/Attention等基本原理，熟悉目标检测、分割、分类、识别等基本深度学习算法;
3.对计算机视觉领域某一方向有较为深入的研究和项目经验；
4.熟悉常用深度学习框架，如TensorFlow/Keras/Pytorch/Paddle等的一种;
5.熟练掌握Python，熟悉C/C++，熟悉Linux开发环境;
6.具备一定的独立工作能力，能够完成从算法研究到模型训练、评估、测试和应用等工作;
7.对计算机视觉领域的发展和应用有浓厚的兴趣;
8.有OCR或CV领域其他算法及项目经验者优先。",更新于：2024-02-23
AI音乐算法评测专家,北京·东城区·王府井,25-50K·13薪,经验不限,本科,语音/图像识别,昆仑天工,互联网,500-999人,"岗位职责
1负责基于深度学习的AI 音乐生成、MIR、SSL等算法方向的评测，确保音乐质量达最佳效果；制定对应的评测规则、评测方法和效果评估体系；
2负责深度学习类音乐评测模型开发和音乐指标的工程建设；
3能构建基于AI音乐生成的自动化评测技术，规划并搭建智能自动化评测工具或平台，保证评测时效性及准确性，提高评测置信度。
岗位要求
1计算机、通信、人工智能专业，研究生及以上学历；
2有1年以上AI生成算法评测经验；
3有音频生成、音频理解、MIR等相关算法研究经历优先；有音乐背景优先；
4编程基础扎实，至少熟悉Python / C++ / Java中一种；
5逻辑清晰、思维敏捷，善于分析与总结，优秀的快速学习及抗压能力",更新于：2024-02-23
ai算法工程师（人脸识别方向）,北京,20-40K·15薪,经验不限,本科,"机器学习
图像算法
自然语言处理算法
Python
CV
人脸识别
图像处理",某大型企业服务公司,企业服务,100-499人,"工作职责
1. 负责人脸识别和肢体检测相关算法的持续优化迭代；
2. 了解跟进AI/CV技术进展，推动CV算法在实际应用场景中落地。
任职资格
1. 统招本科及以上学历，计算机、数学、自动化等相关专业；
2. 具有扎实的图像处理和机器学习优化算法基础，有目标检测、关键点检测等方向项目落地经验，有模型部署相关经验；
3. 具有良好的计算机基础和编程能力，熟练使用Python语言，熟悉PyTorch/TensorFlow等深度学习框架，熟悉C/C++，有Linux平台下的开发经验；
4. 具有优秀的分析问题和解决问题的能力，具有良好的沟通能力和团队协作能力。",更新于：2024-02-23
