岗位名称,区位,薪资,工作年限,学历,关键词,公司名,企业类别,企业规模,岗位要求,更新时间
AI图形学算法工程师,北京·朝阳区·大望路,15-25K,经验不限,本科,"计算机相关专业
数学/统计相关专业
英文读写能力良好
Stable diffusion
AIGC
CV算法",森博公关,广告/公关/会展,100-499人,"职位概述：
我们正在寻找一位具备Stable diffusion使用及算法开发经验的算法工程师，加入我们充满活力的AI产品团队。理想候选人需要拥有扎实的CV算法基础，具备Controlnet等训练经验，可以配合主美自定义训练AIGC做图模型并进行应用。
任职要求：
1、人工智能、深度学习/机器学习、计算机视觉、数学等相关专业本科及以上学历；
2、掌握Stable Diffusion基础原理，根据需求对业务进行分解，利用已有AI相关技术做预处理，最终生成合格的作品
3、掌握Dream booth、Textual Inversion、Hypernetworks、LoRA、segmentation等finetune方法的原理以及优缺点，可以根据应用场景训练模型
4、掌握ControlNet，腾讯T2I-Adapter等控制类原理，具备自定义训练一个ControlNet的经验
5、有良好的自我学习能力及自驱力，对前沿领域有强探索欲，有团队合作精神
6、加分项：有参与AIGC落地的丰富经验，切实产生业务价值案例的
我们提供：
具有竞争力的薪资待遇和福利；
宽松、友好的工作氛围和优秀的团队文化；
丰富的职业发展机会和技术挑战；
定期的团队活动和交流分享；
其他员工福利。",更新于：2024-03-03
AI安全算法工程师-安全与风控,北京·海淀区·苏州桥,25-50K·15薪,经验不限,本科,Python,北京字节跳动,移动互联网,10000人以上,"职位描述:
1、通过蓝军演练评估 AI系统的安全性，挖掘和利用AI 系统中的漏洞；
2、开发针对 AI 系统的攻击以及漏洞挖掘工具和技术；
3、设计解决AI 系统漏洞的技术和方案；
4、研究针对AI系统的新威胁，包括Prompt注入攻击的原理、实践和防御。
职位要求
1、有1年及以上AI安全相关工作经验，计算机、人工智能和信息安全等相关专业；
2、熟练掌握Python/C/C++，熟悉常用的AI开发框架，具有扎实的数据结构、算法设计和机器学习理论基础；
3、拥有AI系统漏洞挖掘、设计AI系统保护方案、可解释性AI、及AI训练/推理框架设计的一项或多项经验；
4、拥有AI安全相关顶会论文者优先；
5、逻辑思考能力强，善于发现和解决问题，自我驱动。",更新于：2024-03-03
AI算法工程师,北京,20-40K·16薪,1年以内,本科,"大模型算法
深度学习
机器学习
自然语言处理算法
图像算法
推荐算法
Python
算法工程化经验
优秀开源项目经历",某500强上市公司,计算机软件,10000人以上,"【工作职责】
1、 面向CBG供应链、风控、用户经营、用户声音、零售、渠道等相关领域和产品，通过AI相关的算法推动CBG的商业数字化和智能化转型；
2、 准确把握数据挖掘领域发展趋势，识别和关注当下的关键需求及关键技术，与公司核心部门及顶级高校进行技术合作、交流，优势互补，使能商业成功；
3、 技术算法平台建设，收集并整理各类数据构建业务数据池，集成业界主流的数据处理、算法模型技术，形成通用化的核心AI智能化处理平台。
符合但不局限于以下人工智能及优化方向：
a) 机器学习方向：
1、熟悉数据分析、特征工程等相关数据挖掘流程，同时熟悉回归，聚类，分类，推荐等机器学习算法实现，对常见的算法理解透彻；
2、从事机器学习算法和理论前沿研究及应用。研究领域包括但不限于：监督学习、半监督学习、联邦学习、时序预测、异常检测、元学习、AutoML、 深度学习、强化学习及模式识别等；
b) 自然语言处理/语音语义方向：
1、从事但不限于文本分析、情感分析、实体抽取及关联抽取、语言消歧、机器翻译、对话和问答系统、深度自然语言处理、多模态语义理解、知识图谱等方向的应用研究和开发工作；
2、负责自然语言处理核心算法及平台的设计与研发，提升自然语言相关产品的核心竞争力和用户体验；
c) 运筹优化方向：
1、负责运筹优化方向的算法研究和开发，包括但不限于资源分配、路径优化、调度优化、智能分货、库存管理、定价策略及仿真平台构建等相关项目；
2、熟悉组合优化、动态规划、启发式优化、随机优化、博弈论等算法能力；
d）推荐搜索方向：
1、从事但不限于包括用户画像、用户建模、精准营销、lookalike、目标人群选择，个性化的推荐，CTR预估等相关项目的算法研究与实现；
2、洞察推荐系统和信息检索技术在工业级产品的有效解决方案；洞察学术界推荐系统和信息检索的最新研究成果，满足业务需求；
e) AI平台/性能优化方向：
1、算法优化：负责AI算法中计算在CPU/GPU/NPU等处理器上的计算性能优化，基础库设计；负责CNN/RNN/RL等模型的效果评估分析；负责持续跟踪业界最优实现，超越并创新；
2、系统平台：负责AI相关系统平台的设计、开发和优化工作，在性能和易用性等指标上做好平衡；负责持续跟踪业界最优实现，超越并创新；负责和上下游客户对接，持续提升平台的性能和表现。
【任职要求】
业务技能要求：
1、具备较强的沟通能力和需求分析能力，有将业务需求转化为场景解决方案并驱动落地的实践经验；
2、参与过完整的算法类项目的建模、设计和开发；
3、富有激情和技术追求，具有优秀的问题分析能力、创新能力和动手能力，提出过相关领域改进和扩展技术方案；
4、对数据有一定的敏感及洞察能力。
专业知识要求：
1、过硬的科研背景和扎实的算法基础，有相关科研成果（如相关论文、专利或者报告）优先；
2、具备扎实的编程实现能力，熟练使用C/C++、Python、Scala、Java等编程语言，对Hadoop、Hive、Spark、Storm等大规模数据存储与运算平台有实践经验。",更新于：2024-03-03
人工智能机器学习深度算法电子单片机工程师,北京·海淀区·上地,12000-13000元/月,1-3年,大专,"机器学习
推荐算法
图像算法
MATLAB
嵌入式开发
Python
算法工程化经验",俏嘴娃电商,计算机软件,0-20人,"工作周期：长期兼职
每周工期：无要求
工作时间：不限
工作时段：不限
结算方式：完工结
招聘截止时间：2024-12-31
【任职要求】
1、熟悉深度学习、机器学习等算法并能应用设计与开发，人工智能相关专业本科及以上学历。
2、熟悉C++、Python、Linux等编程语言开发。
2.多劳多得，薪酬只多不少；只要你有专业能力
4.做的多，得的多，前期会有专门的人和你沟通。
5.公司长期招C/单片机/物联网/PLC等专业人员。
【 时间自由 】欢迎咨询，长期有效。",更新于：2024-03-03
AI 算法工程师,北京·朝阳区·酒仙桥,20-35K,1-3年,本科,"C/C++
机器学习
图像算法
分布式训练
大模型算法
算法工程化经验
MATLAB",MOREVFX,广播/影视,100-499人,"- 学习研究最新人工智能技术的应用方案，紧密关注人工智能技术发展的最新动向。
- 学习研究人工智能技术的演示示例和官方论文文献。
- 通过文献及论坛交流，学习掌握不同数据模型的差异，为应用实践提供理论支持。
- 根据测试应用的需求，利用多种编程语言，快速搭建和开发有效的测试平台和测试工具。
- 处理人工智能软件或平台与DCC平台的接口连接。
- 配合团队其他成员测试人工智能的技术应用，在应用过程中提供技术支持和帮助。
- 遇到问题时积极在相关技术交流论坛交流询问，与更广泛的研究社区和平台保持联系。
- 遇到问题时与公司内部的TA、IT、TD开展紧密合作，寻找解决方案。
- 辅助部门负责人，向制作部主管及公司领导汇报研究进度和测试结果。
- 根据制作部门需求，推动和参与技术落地到项目生产制作中。
- 通过大量测试学习以及总结归纳，对已有模型进行编辑或扩充，通过神经元网络训练，尝试建立公司特定计算模型的应用。",更新于：2024-03-01
AI资深算法工程师,北京·海淀区·中关村,25-50K·15薪,经验不限,本科,"深度学习
搜索算法
C/C++
Python
发表算法相关优秀论文
算法工程化经验
优秀开源项目经历",抖音有限公司,移动互联网,10000人以上,"职位描述
1、在人工智能等领域开展前沿技术研发和落地；
2、参与和推动技术落地到产品；
3、研发以人工智能技术为核心的产品功能；
4、打造新一代的企业智能的产品。
职位要求
1、本科及以上学历，4年以上人工智能产品经验；
2、能够独立思考，具有良好的沟通能力、判断力、数据分析能力、执行力，自我驱动；
3、对互联网、人工智能技术有深刻的认识，熟悉热点领域和主要的算法模型；
4、有较强的沟通协作能力。",更新于：2024-03-02
人工智能机器学习算法开发工程师,北京·海淀区·上地,100-120元/时,经验不限,本科,"深度学习
大模型算法
强化学习
数据挖掘
语音算法
图像算法
Scala
大数据处理工具(Spark/Hadoop/Hive)",成都灵动魔米软件开发,物联网,,"工作周期：长期兼职
每周工期：无要求
工作时间：不限
工作时段：不限
结算方式：完工结
招聘截止时间：2024-03-20
1、熟悉深度学习、机器学习等算法并能应用设计与开发，人工智能相关专业本科及以上学历。
2、熟悉C++、Python、Linux等编程语言开发。
2.多劳多得，薪酬只多不少；只要你有专业能力
4.做的多，得的多，前期会有专门的人和你沟通。
5.公司长期招C/单片机/物联网/PLC等专业人员。
【 时间自由 】欢迎咨询，长期有效。",更新于：2024-03-03
ai算法工程师（人脸识别方向）,北京,20-40K·15薪,经验不限,本科,"机器学习
图像算法
自然语言处理算法
Python
CV
人脸识别
图像处理",某大型企业服务公司,企业服务,100-499人,"工作职责
1. 负责人脸识别和肢体检测相关算法的持续优化迭代；
2. 了解跟进AI/CV技术进展，推动CV算法在实际应用场景中落地。
任职资格
1. 统招本科及以上学历，计算机、数学、自动化等相关专业；
2. 具有扎实的图像处理和机器学习优化算法基础，有目标检测、关键点检测等方向项目落地经验，有模型部署相关经验；
3. 具有良好的计算机基础和编程能力，熟练使用Python语言，熟悉PyTorch/TensorFlow等深度学习框架，熟悉C/C++，有Linux平台下的开发经验；
4. 具有优秀的分析问题和解决问题的能力，具有良好的沟通能力和团队协作能力。",更新于：2024-03-02
AI+药物研发算法工程师,北京,45-65K,1-3年,硕士,"TensorFlow/PyTorch
计算机相关专业
研究导向
深度学习经验
数学/统计相关专业",某大型医疗器械公司,医疗器械,,"职位描述（有比较强的使用transformer或者大语言模型进行自然语言处理算法）
1. 从事制药领域前瞻性算法开发；
2. 开发/应用机器学习/深度学习的算法来辅助药物靶点识别和临床信息整理；
3.与内部药物研发团队合作，通过构建机器学习/深度学习的模型，解决生物医学问题
4. 跟踪行业最新动态；
5. 参与其他算法相关项目。
任职要求
学历及专业：
学历：硕士及以上
专业：计算机，数学，统计学，生物学，化学，医药学，物理学等专业。复合专业背景优先，如计算生物学，生物信息学，分子生物学，结构生物学，计算化学，计算生物物理学，生物物理学，系统生物学，物理化学，化学信息学，药学信息学或者组合专业等，
至少具备以下三组专业技能之一：
专业技能1：
1. 熟悉机器学习/深度学习相关工具，比如Tensorflow，Scikit-learn，Pytorch等；
2. 有使用机器学习深度学习工具做药物研发的经验优先；
3. 熟悉核心机器学习领域相关理论，比如Artifical Neural Networks，Supervised/Unsupervised learning methods，SVM，Bayesian approaches，Decision Theory等；
4. 具有较强的编程能力，熟练掌握Python/C/C++/JAVA等相关语言；
5. 熟悉分子生物学，基因组学或者药物研发相关科学优先。
专业技能2：
1. 熟练使用分子动力学模拟软件或分子对接软件，如Pymol、GROMACS、AMBER、Rosetta、Schrödinger软件等。
2. 熟悉基于结构/配体的药物设计方法，如同源建模、分子对接、虚拟筛选、QSAR、药效团模型、分子动力学、结合自由能等。
3、熟悉药物筛选及药物设计的方法和流程；
4. 具有较强的编程能力，熟练掌握python/C/C++/JAVA等相关语言；
5. 具有计算机辅助药物设计经验者优先。
专业技能3：
1. 熟练使用化学信息学工具包，如RDKit，Openbabel等。
2. 熟悉药学、生物学相关数据库，如chEMBL，PDB，KEGG，OMIM等。
3. 在以下一个或多个领域有相关经验：虚拟筛选，基于计算的先导化合物优化，药物设计，分子动力学，量子力学，化学信息学或ADMET/QSAR；
4. 具有较强的编程能力，熟练掌握python/C/C++/JAVA等相关语言；",更新于：2024-03-03
ai算法工程师,北京,8-10K,1-3年,本科,"大模型算法
自然语言处理算法
图像算法
多模态算法
Python
Java
C/C++",小哆智能,智能硬件,20-99人,"岗位职责：
1、负责大语言模型、数字人具体业务核心算法技术支撑，结合实际应用场景，提供全面的技术解决方案;
2、负责LLM、多模态、自然语言理解、图像生成等的相关算法的实现，性能优化，评估，以及实际落地；
3、提出和实现前沿的深度学习技术，解决挑战性的算法问题；
4、负责相关技术的专利撰写，相关任务的产品化对接；
任职要求：
1、硕士及以上学历，计算机相关专业，2年以上算法工作经验；
2、熟练掌握C/C++、Java、Python等至少一门语言；
3、熟悉机器学习常见算法，有深度学习相关经验，熟练掌握Linux环境，至少掌握一种Deep Learning框架者，例如PyTorch、TensorFlow、MXNet等；
4、有LLM、Diffusion Models、CLIP、Transformer、GAN、CNN等深度学习项目经验者优先；
5、具有快速学习新技术的能力，能够在较短时间理解前沿论文并评价，能够熟练阅读英文文献，拥有超强的自我驱动和自学能力；
6、了解参数化的人脸模型（bfm, flame等），有非刚体三维重建的相关经验者优先；
7、了解计算机图形学基础（光栅化，几何，渲染，动画等），熟悉数字人物的建模和面部捕捉技术者优先；
8、对大语言模型有深入的理解，热爱研究各种prompt技术；
9、有商业解决方案开发经验者优先，尤其是在特定行业或大型项目中的应用；
10、应届毕业生能力突出者可适当放宽要求",更新于：2024-03-03
