岗位名称,区位,薪资,工作年限,学历,关键词,公司名,企业类别,企业规模,岗位要求,更新时间
人工智能/AI技术支持,北京·朝阳区·朝阳门,15-20K,1-3年,本科,"深度学习
大模型算法
机器学习
自然语言处理算法
推荐算法
多模态算法
C/C++
Python
MATLAB
算法工程化经验
PyTorch/TensorFlow
CV/NLP/python/C++
AI/算法/深度学习",万宝盛华企业管理...,生活服务（O2O）,1000-9999人,"岗位职责：
负责项目维度的高级调优工作，除了中级工作以外，包括对客户业务模型、算子调优、训练模型调优等工作;负责攻关团队复杂问题，负责协助进行项目管理。对组织的工作成果和能力建设负责。
岗位要求：
1、1年以上人工智能软件软件开发经验，熟悉PyTorch/TensorFlow等常用AI框架之一，对训练、精度/性能调优、推理部署有完整的实践经验。
2、理解常用CV/NLP算法的原理.
3、熟悉python或C/C++。
4、熟练使用Linux。",更新于：2024-03-19
AI图形学算法工程师,北京·朝阳区·大望路,15-25K,经验不限,本科,"计算机相关专业
数学/统计相关专业
英文读写能力良好
Stable diffusion
AIGC
CV算法",森博营科,广告/公关/会展,100-499人,"职位概述：
我们正在寻找一位具备Stable diffusion使用及算法开发经验的算法工程师，加入我们充满活力的AI产品团队。理想候选人需要拥有扎实的CV算法基础，具备Controlnet等训练经验，可以配合主美自定义训练AIGC做图模型并进行应用。
任职要求：
1、人工智能、深度学习/机器学习、计算机视觉、数学等相关专业本科及以上学历；
2、掌握Stable Diffusion基础原理，根据需求对业务进行分解，利用已有AI相关技术做预处理，最终生成合格的作品
3、掌握Dream booth、Textual Inversion、Hypernetworks、LoRA、segmentation等finetune方法的原理以及优缺点，可以根据应用场景训练模型
4、掌握ControlNet，腾讯T2I-Adapter等控制类原理，具备自定义训练一个ControlNet的经验
5、有良好的自我学习能力及自驱力，对前沿领域有强探索欲，有团队合作精神
6、加分项：有参与AIGC落地的丰富经验，切实产生业务价值案例的
我们提供：
具有竞争力的薪资待遇和福利；
宽松、友好的工作氛围和优秀的团队文化；
丰富的职业发展机会和技术挑战；
定期的团队活动和交流分享；
其他员工福利。",更新于：2024-03-19
ai算法工程师,北京·海淀区·北京大学,18-25K,经验不限,本科,Python,青鸟职业教育,培训/辅导机构,100-499人,"工作内容：1.针对职业技术培训领域大模型的特点和应用场景，设计并可以不断优化精进模型的prompt，并提升模型在特定任务的性能。
2.基于国内外最新研究成果，落地搜索增强、嵌入模型和VD的实现。
3.设计处置领域大模型评估方案并负责模型评估工作，确保大模型测评结果与实际场景体验一致。
4.辅助设计基于大模型的应用产品生态体系，例如智能文档，面试辅助等。
5.参与大模型应用领域相关产品技术方案的研究与创新，竞品的调研和分析，支持业务的快速迭代。
6.收集职业教育领域数据，收集ChatGPT、MidJourney等AI提示词并验证，以工程的方式进行管理。
7.协助产品经理完成部分产品工作，如用户访谈、竞品调研、课程内容规划研究等。
岗位职责：1.针对职业技术培训领域大模型的特点和应用场景，设计并可以不断优化精进模型的prompt，并提升模型在特定任务的性能。
2.基于国内外最新研究成果，落地搜索增强、嵌入模型和VD的实现。
3.设计处置领域大模型评估方案并负责模型评估工作，确保大模型测评结果与实际场景体验一致。
4.辅助设计基于大模型的应用产品生态体系，例如智能文档，面试辅助等。
5.参与大模型应用领域相关产品技术方案的研究与创新，竞品的调研和分析，支持业务的快速迭代。
6.收集职业教育领域数据，收集ChatGPT、MidJourney等AI提示词并验证，以工程的方式进行管理。
7.协助产品经理完成部分产品工作，如用户访谈、竞品调研、课程内容规划研究等。",更新于：2024-03-19
人工智能教研工程师/人工智能讲师,北京·海淀区·西三旗,12-24K,经验不限,本科,"Python
TensorFlow/PyTorch
计算机相关专业
机器学习算法/工程化经验
算法工程化经验
大模型算法
深度学习
推荐算法
自然语言处理算法
C/C++
Python
cv算法",华清远见教育,在线教育,500-999人,"工作内容:
1.负责人工智能相关课程教学工作，按进度完成教学任务；
2.根据教学需要，改进教学方法，更新教学大纲，教学案例开发更新升级，完善教学案例、教学资料及其他教学内容；
3.参与教学资源收集、开发、整理、录屏、发布、维护、授课、演讲等工作。
4.协助市场部老师做好业务知识分享、技术培训、内容日常支持。
5.参与市场自制视频的教研、录制、并参与助力课程推广；
任职要求:
1.全日制本科及以上学历， 计算机、数学或其它理工科相关专业，两年工作经验以上；
2.优秀的编程能力，熟练掌握python、C++等任一种编程语言；
3.熟练主流机器学习算法和深度学习算法；
4.熟悉至少一种深度学习框架，如Tensorflow或PyTorch等；
5.具备相关人工智能的开发项目经验，有推荐系统、语音、计算机视觉、NLP和智能项目相关经验优先；
6.善于交流，具备团队协作能力；
7.具有较强的学习能力，具备独立解决问题的能力，能够承受工作压力。",更新于：2024-03-19
初级AI算法工程师,北京·西城区·宣武门,12-16K,1-3年,本科,"深度学习
机器学习
Python
C/C++",慧流科技,计算机软件,20-99人,"岗位职责:
1.负责人工智能领域相关研究与应用；
2.设计、训练和测试机器学习、深度学习算法模型；
3.负责AI模型的应用设计、开发和维护；
4.参与AI平台架构设计和路标规划及产品方案设计工作;
5.负责或参与完成AI项目、AI产品的研发、调优、落地等工作；
岗位要求：
1.计算机、应用数学、人工智能、统计学等相关专业，本科及以上学历;
2.能够熟练使用Python、C++等开发语言中的一种或多种语言; 了解主流机器学习算法;
3.具有深度学习、数据建模相关项目经验，了解pytorch、tensorflow等深度学习框架中的一种或多种；
4.具有一定的Linux命令操作基础，可在Linux环境下完成各种模型训练与推理测试实验；
5.熟悉Flask、Django等web框架中的一种或多种；
6.有AI系统/平台架构、核心模块开发设计经验参与过中大型人工智能相关项目研究与开发经验优先；
7.工作细致、责任心强，有较强的沟通与执行能力，有团队合作精神；
8.对AI有浓厚兴趣，致力于往AI方向发展；",更新于：2024-03-19
AI算法工程师（游戏相关）,北京·东城区·和平里,18-35K·13薪,1-3年,本科,"强化学习
模型加速/性能优化
Python
发表算法相关优秀论文",IGG,游戏,1000-9999人,"游戏AI算法工程师（强化学习）
岗位职责：
1. 计算机相关专业，本科及以上学历
2. 1 年以上强化学习算法领域研究或工作经验，有游戏 AI 研发经验者优先
3. 熟悉常用强化学习算法如 DQN、PPO、A3C 等，熟练掌握 TensorFlow、PyTorch 等主流深度学习框架
4. 编码能力良好，精通至少一种编程语言，熟悉常用的数据结构和算法
5. 热爱游戏行业、熟悉多类型游戏者优先
任职要求：
1. 研发高效可靠的游戏 AI 解决方案，探索强化学习技术在游戏 AI 中的应用和落地
2. 设计和实现模型训练及优化的策略，进行模型调试和优化
3. 跟踪分析工业界及学术界相关方向的最新进展，为业务及技术规划提供参考意见",更新于：2024-03-19
ai算法工程师,北京·朝阳区·安贞,14-18K,经验不限,本科,"图像算法
Python",中嘉数创,广告/公关/会展,100-499人,"岗位要求：
1、计算机、数学、软件工程或相关专业硕士及以上
2、有扎实的基础知识与算法基础，熟练使用各种编程语言开发
3、了解常用机器学习、深度学习或数据挖掘等算法
工作内容：
1、全程参与软件项目的需求分析、设计、开发及测试等几个阶段；
2、整合并优化项目开发所需各种资源、技术架构，负责保障代码质量，软件项目的持续优化、改进工作;
3、确保服务器正常运行；
4、思考应用场景并提出新idea，结合实际业务场景制定合理解决方案；
5、主要包括但不限于：OCR、人脸识别，肢体识别、手势识别、目标检测、图像分割、图像识别、美颜特效、图像风格迁移等技术研发落地；
岗位要求：
1、本科以上学历，计算机相关专业；
2、熟练掌握C/C++、Python、java等编程语言至少一门编程语言；熟悉OpenCV，以及常用图像处理方法；
3、熟悉深度学习基础知识和经典网络模型，熟练至少一种深度学习工具，例如TensorFlow、PyTorch、PaddlePaddle等
4、熟练Java语言及各种主流框架如SpringBoot等主流框架，有熟悉前端技术，如小程序，Vue等前端技术框架者择优考虑；
5、熟练使用MySQL数据库，有SQL开发经验；
6、熟练liux的基本操作，如开机程序启动配置，shell脚本的编写；
7、有nlp、推荐相关经验者加分；",更新于：2024-03-19
ai算法工程师,北京·大兴区·西红门,18-30K·13薪,1-3年,本科,"深度学习
机器学习
大模型算法
自然语言处理算法
SLAM算法
搜索算法
Python
算法工程化经验",众聚数据,互联网,0-20人,"１.理解与熟悉 NLP、LLM 大模型技术；
２.具备 NLP 方面的开发、优化和迭代升级技术能力；
３.基于深度学习,完成 NLP方面的数据处理,包括关系抽取、实体识别、内容提取的开发;
4.掌握Transformer、RNN、LSTM 、Bert 及其变种算法原理;
5.专业最好为软件工程或者数学方面，更关注技术能力;
6.创业期诚招有担当，有能力的伙伴加入，如果三观相同，可以加入创业合伙团队，共担、共享创业成果；
7.当前公司有项目来源，具备自身造血能力，因此资金不是问题。",更新于：2024-03-19
cv算法工程师(自研AI),北京·海淀区·上地,15-25K·13薪,1-3年,本科,"深度学习
自然语言处理算法
C/C++
Python",易道博识,移动互联网,20-99人,"工作职责:
使用深度学习进行前沿计算机视觉技术研究，包括但不限于分类、检测、分割、文字识别 (OCR)、人脸识别等技术方向。
工作要求:
1.985或211本科及以上学历，计算机/电子/自动化/通讯/模式识别等相关专业，应届或1-3年经验；
2.孰悉CNN/RNN/GNN/Transformer/Attention等基本原理，熟悉目标检测、分割、分类、识别等基本深度学习算法;
3.对计算机视觉领域某一方向有较为深入的研究和项目经验；
4.熟悉常用深度学习框架，如TensorFlow/Keras/Pytorch/Paddle等的一种;
5.熟练掌握Python，熟悉C/C++，熟悉Linux开发环境;
6.具备一定的独立工作能力，能够完成从算法研究到模型训练、评估、测试和应用等工作;
7.对计算机视觉领域的发展和应用有浓厚的兴趣;
8.有OCR或CV领域其他算法及项目经验者优先。",更新于：2024-03-19
ai算法工程师（人脸识别方向）,北京,20-40K·15薪,经验不限,本科,"机器学习
图像算法
自然语言处理算法
Python
CV
人脸识别
图像处理",某大型企业服务公司,企业服务,100-499人,"工作职责
1. 负责人脸识别和肢体检测相关算法的持续优化迭代；
2. 了解跟进AI/CV技术进展，推动CV算法在实际应用场景中落地。
任职资格
1. 统招本科及以上学历，计算机、数学、自动化等相关专业；
2. 具有扎实的图像处理和机器学习优化算法基础，有目标检测、关键点检测等方向项目落地经验，有模型部署相关经验；
3. 具有良好的计算机基础和编程能力，熟练使用Python语言，熟悉PyTorch/TensorFlow等深度学习框架，熟悉C/C++，有Linux平台下的开发经验；
4. 具有优秀的分析问题和解决问题的能力，具有良好的沟通能力和团队协作能力。",更新于：2024-03-19
