岗位名称,区位,薪资,工作年限,学历,关键词,公司名,企业类别,企业规模,岗位要求,更新时间
人工智能 NLP工程师,北京·朝阳区·南磨房,20-40K·13薪,1-3年,本科,"DALLE、Midjourney
ChatGPT模型
StableDiffusion",上海美踏全宇数字科技,互联网,100-499人,"岗位职责：
1、承担基于GPT系列或者其他开源大模型的开发和调优工作，包括训练流程搭建、指令微调、Prompt工程以及面向下游任务的效果优化等；
2、负责语料库的采集、整理和数据制作，以满足模型训练需求，掌握数据增强和降噪技术；
完成大规模预训练模型在游戏、影视等细分领域的落地，支持业务目标提升;
3、紧跟业界大模型进展，探索前沿技术，解决实际问题，包括智能问答、图文内容生成等；4、与其他团队密切合作，包括数据工程师、前后端工程师、产品经理等，实现高质量的产品和解决方案。
任职要求:
1、2年以上相关工作经验， 计算机、人工智能、数学等相关专业研究生学历，优秀者可放宽至本科，有相关方向论文者优先；
2、熟悉NLP主流大模型，如ChatGPT/T5/PaLM/LLaMA/GLM等,对模型背后的原理和各自适用场景有深入的理解。有大模型预训练经验,熟悉相关技术细节和优化策略，如大规模语料收集、模型调优优化、自弱监督学习、强化学习等；
3、有小样本学习 (Few-shot learning)、提示学习(P‘rompt learning)等相关技术经验；
4、有扎实的自然语言处理理论和方法基础，掌握自然语言主要算法模型，具备对Transformer架构及其变体的深入理解；
5、熟悉常见的自然语言处理任务，如文本生成、语义理解、实体识别、知识抽取等；
6、扎实的编程基础：掌握至少一种开发语言如 Python、C、C++等，有基于PyTorch等深度学习框架的实战项目经验；
7、具备良好的数据预处理和数据分析能力，熟悉主流数据处理工具如pandas、NumPy等；
8、具备较强的团队协作能力和沟通能力，有较强的学习能力和业务分析及问题解决能力。
9、关注AIGC领域的业界最新动态，了解 DALLE、Midjourney、StableDiffusion等前沿技术；
10、有CV、多模态项目经验。",更新于：2024-03-07
ai算法研究员（北京医为AI事业部）,北京·海淀区·知春路,25-40K,3-5年,本科,"大模型算法
深度学习
图像算法
Python
七险一金
医学影像
算法",东华软件,计算机软件,10000人以上,"硬性条件：
全日制一本以上学历，硕士优先，2年以上经验
岗位职责：
1、结合临床具体需求，负责图像或文本算法研发，包括深度学习、图像处理等算法和软件研发；
2、负责算法性能优化；
职位要求：
1、数学，计算机，机器视觉、物理，生物医学工程等相关专业，有医学图像处理与分析及相关开发经验优先；
2、精通Torch、Tensorflow框架；
3、精通python；
4、对医学影像处理及AI算法有丰富经验和和成功案例者优先；
5、有发表高水平文章或项目申请经验者优先。",更新于：2024-03-07
AI算法工程师,北京,20-40K·16薪,1年以内,本科,"大模型算法
深度学习
机器学习
自然语言处理算法
图像算法
推荐算法
Python
算法工程化经验
优秀开源项目经历",某500强上市公司,计算机软件,10000人以上,"【工作职责】
1、 面向CBG供应链、风控、用户经营、用户声音、零售、渠道等相关领域和产品，通过AI相关的算法推动CBG的商业数字化和智能化转型；
2、 准确把握数据挖掘领域发展趋势，识别和关注当下的关键需求及关键技术，与公司核心部门及顶级高校进行技术合作、交流，优势互补，使能商业成功；
3、 技术算法平台建设，收集并整理各类数据构建业务数据池，集成业界主流的数据处理、算法模型技术，形成通用化的核心AI智能化处理平台。
符合但不局限于以下人工智能及优化方向：
a) 机器学习方向：
1、熟悉数据分析、特征工程等相关数据挖掘流程，同时熟悉回归，聚类，分类，推荐等机器学习算法实现，对常见的算法理解透彻；
2、从事机器学习算法和理论前沿研究及应用。研究领域包括但不限于：监督学习、半监督学习、联邦学习、时序预测、异常检测、元学习、AutoML、 深度学习、强化学习及模式识别等；
b) 自然语言处理/语音语义方向：
1、从事但不限于文本分析、情感分析、实体抽取及关联抽取、语言消歧、机器翻译、对话和问答系统、深度自然语言处理、多模态语义理解、知识图谱等方向的应用研究和开发工作；
2、负责自然语言处理核心算法及平台的设计与研发，提升自然语言相关产品的核心竞争力和用户体验；
c) 运筹优化方向：
1、负责运筹优化方向的算法研究和开发，包括但不限于资源分配、路径优化、调度优化、智能分货、库存管理、定价策略及仿真平台构建等相关项目；
2、熟悉组合优化、动态规划、启发式优化、随机优化、博弈论等算法能力；
d）推荐搜索方向：
1、从事但不限于包括用户画像、用户建模、精准营销、lookalike、目标人群选择，个性化的推荐，CTR预估等相关项目的算法研究与实现；
2、洞察推荐系统和信息检索技术在工业级产品的有效解决方案；洞察学术界推荐系统和信息检索的最新研究成果，满足业务需求；
e) AI平台/性能优化方向：
1、算法优化：负责AI算法中计算在CPU/GPU/NPU等处理器上的计算性能优化，基础库设计；负责CNN/RNN/RL等模型的效果评估分析；负责持续跟踪业界最优实现，超越并创新；
2、系统平台：负责AI相关系统平台的设计、开发和优化工作，在性能和易用性等指标上做好平衡；负责持续跟踪业界最优实现，超越并创新；负责和上下游客户对接，持续提升平台的性能和表现。
【任职要求】
业务技能要求：
1、具备较强的沟通能力和需求分析能力，有将业务需求转化为场景解决方案并驱动落地的实践经验；
2、参与过完整的算法类项目的建模、设计和开发；
3、富有激情和技术追求，具有优秀的问题分析能力、创新能力和动手能力，提出过相关领域改进和扩展技术方案；
4、对数据有一定的敏感及洞察能力。
专业知识要求：
1、过硬的科研背景和扎实的算法基础，有相关科研成果（如相关论文、专利或者报告）优先；
2、具备扎实的编程实现能力，熟练使用C/C++、Python、Scala、Java等编程语言，对Hadoop、Hive、Spark、Storm等大规模数据存储与运算平台有实践经验。",更新于：2024-03-07
ai算法工程师,北京·海淀区·北京大学,18-25K,经验不限,本科,Python,青鸟职业教育,培训/辅导机构,100-499人,"工作内容：1.针对职业技术培训领域大模型的特点和应用场景，设计并可以不断优化精进模型的prompt，并提升模型在特定任务的性能。
2.基于国内外最新研究成果，落地搜索增强、嵌入模型和VD的实现。
3.设计处置领域大模型评估方案并负责模型评估工作，确保大模型测评结果与实际场景体验一致。
4.辅助设计基于大模型的应用产品生态体系，例如智能文档，面试辅助等。
5.参与大模型应用领域相关产品技术方案的研究与创新，竞品的调研和分析，支持业务的快速迭代。
6.收集职业教育领域数据，收集ChatGPT、MidJourney等AI提示词并验证，以工程的方式进行管理。
7.协助产品经理完成部分产品工作，如用户访谈、竞品调研、课程内容规划研究等。
岗位职责：1.针对职业技术培训领域大模型的特点和应用场景，设计并可以不断优化精进模型的prompt，并提升模型在特定任务的性能。
2.基于国内外最新研究成果，落地搜索增强、嵌入模型和VD的实现。
3.设计处置领域大模型评估方案并负责模型评估工作，确保大模型测评结果与实际场景体验一致。
4.辅助设计基于大模型的应用产品生态体系，例如智能文档，面试辅助等。
5.参与大模型应用领域相关产品技术方案的研究与创新，竞品的调研和分析，支持业务的快速迭代。
6.收集职业教育领域数据，收集ChatGPT、MidJourney等AI提示词并验证，以工程的方式进行管理。
7.协助产品经理完成部分产品工作，如用户访谈、竞品调研、课程内容规划研究等。",更新于：2024-03-07
AI算法工程师（NLP方向）,北京·西城区·宣武门,15-30K·14薪,1-3年,本科,"机器翻译
推荐算法
文本生成
Python
Golang
大数据处理工具(Spark/Hadoop/Hive)
深度学习
机器学习
大模型算法
优秀开源项目经历
算法工程化经验
模型加速/性能优化",UMU,企业服务,100-499人,"岗位职责：
1. 从事自然语言处理、知识图谱等领域前沿算法的研究，探索人工智能技术的创新和落地应用；
2. 从业务场景和实际问题出发，利用自然语言处理和知识图谱技术，服务于UMU核心AI产品，如AI陪练、AI微课等；
3. 构建知识图谱平台，将智能服务的能力赋予更多的产品和用户。
任职责格：
1. 掌握自然语言处理、信息检索、深度学习理论，实现相关算法技术的落地和应用；
2. 掌握知识图谱相关算法，包括但不限于实体识别、关系抽取、语义消歧、实体链接、知识推理等算法模块研究与优化；
3. 责任心强，积极主动，有良好的沟通协调能力；
4. 本科及以上学历，计算机相关专业，社招1年以上NLP工作经验。",更新于：2024-03-07
AI+药物研发算法工程师,北京,45-65K,1-3年,硕士,"TensorFlow/PyTorch
计算机相关专业
研究导向
深度学习经验
数学/统计相关专业",某大型医疗器械公司,医疗器械,,"职位描述（有比较强的使用transformer或者大语言模型进行自然语言处理算法）
1. 从事制药领域前瞻性算法开发；
2. 开发/应用机器学习/深度学习的算法来辅助药物靶点识别和临床信息整理；
3.与内部药物研发团队合作，通过构建机器学习/深度学习的模型，解决生物医学问题
4. 跟踪行业最新动态；
5. 参与其他算法相关项目。
任职要求
学历及专业：
学历：硕士及以上
专业：计算机，数学，统计学，生物学，化学，医药学，物理学等专业。复合专业背景优先，如计算生物学，生物信息学，分子生物学，结构生物学，计算化学，计算生物物理学，生物物理学，系统生物学，物理化学，化学信息学，药学信息学或者组合专业等，
至少具备以下三组专业技能之一：
专业技能1：
1. 熟悉机器学习/深度学习相关工具，比如Tensorflow，Scikit-learn，Pytorch等；
2. 有使用机器学习深度学习工具做药物研发的经验优先；
3. 熟悉核心机器学习领域相关理论，比如Artifical Neural Networks，Supervised/Unsupervised learning methods，SVM，Bayesian approaches，Decision Theory等；
4. 具有较强的编程能力，熟练掌握Python/C/C++/JAVA等相关语言；
5. 熟悉分子生物学，基因组学或者药物研发相关科学优先。
专业技能2：
1. 熟练使用分子动力学模拟软件或分子对接软件，如Pymol、GROMACS、AMBER、Rosetta、Schrödinger软件等。
2. 熟悉基于结构/配体的药物设计方法，如同源建模、分子对接、虚拟筛选、QSAR、药效团模型、分子动力学、结合自由能等。
3、熟悉药物筛选及药物设计的方法和流程；
4. 具有较强的编程能力，熟练掌握python/C/C++/JAVA等相关语言；
5. 具有计算机辅助药物设计经验者优先。
专业技能3：
1. 熟练使用化学信息学工具包，如RDKit，Openbabel等。
2. 熟悉药学、生物学相关数据库，如chEMBL，PDB，KEGG，OMIM等。
3. 在以下一个或多个领域有相关经验：虚拟筛选，基于计算的先导化合物优化，药物设计，分子动力学，量子力学，化学信息学或ADMET/QSAR；
4. 具有较强的编程能力，熟练掌握python/C/C++/JAVA等相关语言；",更新于：2024-03-07
气象AI算法工程师,北京·海淀区·西北旺,25-35K,经验不限,本科,"深度学习
大模型算法
图像算法
自然语言处理算法
气象算法
Python
算法工程化经验
发表算法相关优秀论文
参加算法相关竞赛/获奖",北京中科星图维天...,计算机软件,,"工作职责
1. 负责气象/海洋/生态/空间天气等领域的AI算法应用研究；
2. 负责AI算法的调研、应用；
3. 协助气象服务系统的开发，应用。
任职资格
1.具有气象、物理、计算机等相关专业研究生以上学历;
2.熟悉气象领域AI算法的基本理论；
3.具有算法运行开发经验，对AI算法应用中出现的问题能迅速定位，并根据已有经验进行解决;
4.了解跟踪AI领域前沿，可对各类资料进行分析和处理
5.熟悉使用linux系统、shell脚本编程及算法常用的工具（Python，Tensorflow等）。
加分：
1.熟练掌握python者优先
2.熟练掌握气象预报相关数值模式者优先",更新于：2024-03-07
AI 算法工程师,北京·朝阳区·酒仙桥,20-35K,1-3年,本科,"C/C++
机器学习
图像算法
分布式训练
大模型算法
算法工程化经验
MATLAB",MOREVFX,广播/影视,100-499人,"- 学习研究最新人工智能技术的应用方案，紧密关注人工智能技术发展的最新动向。
- 学习研究人工智能技术的演示示例和官方论文文献。
- 通过文献及论坛交流，学习掌握不同数据模型的差异，为应用实践提供理论支持。
- 根据测试应用的需求，利用多种编程语言，快速搭建和开发有效的测试平台和测试工具。
- 处理人工智能软件或平台与DCC平台的接口连接。
- 配合团队其他成员测试人工智能的技术应用，在应用过程中提供技术支持和帮助。
- 遇到问题时积极在相关技术交流论坛交流询问，与更广泛的研究社区和平台保持联系。
- 遇到问题时与公司内部的TA、IT、TD开展紧密合作，寻找解决方案。
- 辅助部门负责人，向制作部主管及公司领导汇报研究进度和测试结果。
- 根据制作部门需求，推动和参与技术落地到项目生产制作中。
- 通过大量测试学习以及总结归纳，对已有模型进行编辑或扩充，通过神经元网络训练，尝试建立公司特定计算模型的应用。",更新于：2024-03-07
AI图形学算法工程师,北京·朝阳区·大望路,15-25K,经验不限,本科,"计算机相关专业
数学/统计相关专业
英文读写能力良好
Stable diffusion
AIGC
CV算法",森博公关,广告/公关/会展,100-499人,"职位概述：
我们正在寻找一位具备Stable diffusion使用及算法开发经验的算法工程师，加入我们充满活力的AI产品团队。理想候选人需要拥有扎实的CV算法基础，具备Controlnet等训练经验，可以配合主美自定义训练AIGC做图模型并进行应用。
任职要求：
1、人工智能、深度学习/机器学习、计算机视觉、数学等相关专业本科及以上学历；
2、掌握Stable Diffusion基础原理，根据需求对业务进行分解，利用已有AI相关技术做预处理，最终生成合格的作品
3、掌握Dream booth、Textual Inversion、Hypernetworks、LoRA、segmentation等finetune方法的原理以及优缺点，可以根据应用场景训练模型
4、掌握ControlNet，腾讯T2I-Adapter等控制类原理，具备自定义训练一个ControlNet的经验
5、有良好的自我学习能力及自驱力，对前沿领域有强探索欲，有团队合作精神
6、加分项：有参与AIGC落地的丰富经验，切实产生业务价值案例的
我们提供：
具有竞争力的薪资待遇和福利；
宽松、友好的工作氛围和优秀的团队文化；
丰富的职业发展机会和技术挑战；
定期的团队活动和交流分享；
其他员工福利。",更新于：2024-03-07
ai算法工程师,北京,8-10K,1-3年,本科,"大模型算法
自然语言处理算法
图像算法
多模态算法
Python
Java
C/C++",小哆智能,智能硬件,20-99人,"岗位职责：
1、负责大语言模型、数字人具体业务核心算法技术支撑，结合实际应用场景，提供全面的技术解决方案;
2、负责LLM、多模态、自然语言理解、图像生成等的相关算法的实现，性能优化，评估，以及实际落地；
3、提出和实现前沿的深度学习技术，解决挑战性的算法问题；
4、负责相关技术的专利撰写，相关任务的产品化对接；
任职要求：
1、硕士及以上学历，计算机相关专业，2年以上算法工作经验；
2、熟练掌握C/C++、Java、Python等至少一门语言；
3、熟悉机器学习常见算法，有深度学习相关经验，熟练掌握Linux环境，至少掌握一种Deep Learning框架者，例如PyTorch、TensorFlow、MXNet等；
4、有LLM、Diffusion Models、CLIP、Transformer、GAN、CNN等深度学习项目经验者优先；
5、具有快速学习新技术的能力，能够在较短时间理解前沿论文并评价，能够熟练阅读英文文献，拥有超强的自我驱动和自学能力；
6、了解参数化的人脸模型（bfm, flame等），有非刚体三维重建的相关经验者优先；
7、了解计算机图形学基础（光栅化，几何，渲染，动画等），熟悉数字人物的建模和面部捕捉技术者优先；
8、对大语言模型有深入的理解，热爱研究各种prompt技术；
9、有商业解决方案开发经验者优先，尤其是在特定行业或大型项目中的应用；
10、应届毕业生能力突出者可适当放宽要求",更新于：2024-03-07
