岗位名称,区位,薪资,工作年限,学历,关键词,公司名,企业类别,企业规模,岗位要求,更新时间,来源
人工智能算法专家,北京-通州,20k-40k,经验不限,硕士,"计算机相关专业
机器学习算法/工程化经验",互影通,广播/影视,20-99人,ai结合影视的产品开发,2023-12-06,boss
人工智能算法专家,北京-海淀,30k-60k,3-5年,硕士,"数学/统计相关专业
深度学习经验
能源预测
电价预测",清能互联科技,计算机软件,100-499人,"岗位职责：
1、机器学习/深度学习相关人工智能算法，在能源互联网产品/业务中的应用研究，包括但不限于能源供需预测、电价预测、产业趋势预测；
2、指导现有电力负荷预测、新能源功率预测或电价预测等算法的迭代升级；
3、牵头负责公司人工智能算法技术体系的完善和更新，保持对人工智能算法及行业应用前沿的把控，定期向管理层做技术更新汇报；
4、牵头参加行业内竞赛、标准制定以及对外公共宣传专业发声。
职位要求：
1、计算机、自动化、应用数学或能源相关专业，硕士及以上学历；
2、对常用的机器学习/深度学习算法有深刻理解，并且有成功的实际项目或产品应用经验；
3、熟悉人工智能技术新进展及行业应用最新情况，并具备持续跟踪和学习能力；
4、熟练掌握常用人工智能算法实现编程语言，擅长通过代码及各类工具完成技术工作交互；
5、工作严谨细致，有责任心和上进心，具备优秀的沟通能力及团队协作能力；勤奋好学，富有创新精神。",2024-01-05,boss
人工智能算法讲师,北京-海淀,50k-80k,经验不限,博士,"自然语言处理
深度学习算法
视觉图像算法
TensorFlow
PyTorch
数据挖掘",交大慧谷,互联网,无,"岗位职责
1、 AI算法课程讲授
2、全职或者兼职完成教学教研的相关工作
岗位要求：
1、自动化、数学、人工智能、计算机视觉、数据挖掘等相关专业方向；
2、有一定深度学习理论，有人脸识别、姿态检测、目标检测、NLP等相关项目开发经验；
3、熟练使用Caffe，Tensorflow，PyTorch等至少一种深度学习框架；
4、会cuda编程经验者优先；
5、具有比较强的沟通交流能力，学习能力、分析解决问题能力；
6、有团队合作精神，有海外留学背景优先。",2023-12-13,boss
人工智能算法工程师,北京-海淀,30k-40k·15薪,3-5年,本科,"算法设计
深度学习算法
机器学习算法
视觉图像算法
TensorFlow
PyTorch",北京险峰科技有限公司,计算机软件,100-499人,"职位描述：
【岗位职责】
1、负责采用深度学习进行算法和模型的研发，实现人脸识别、目标检测、目标跟踪、姿态分析、图像分类等等相关产品；
2、结合公司的行业发展方向，对计算机视觉相关需求进行分析、算法设计、技术实现、迭代优化、算法自测及工程应用；
3、搭建完善的机器学习、深度学习平台，进行模型训练与优化；
【任职要求】
1、计算机科学、模式识别、机器学习等相关专业本科以上学历；
2、熟悉深度学习算法、经典网络模型、主流深度学习平台，有丰富的算法开发经验；
3、熟练掌握Tensorflow、Pytorch等深度学习框架，熟悉OpenCV等视频处理算法库；
4、优秀的分析和解决问题能力，较强的沟通能力、洞察力、责任心和团队意识，高效的工作效率；
5、具有人脸识别、视频分析等相关研发经验优先。",2023-12-06,boss
人工智能算法工程师,北京-通州,30k-60k·16薪,5-10年,本科,"C/C++
Shell
算法工程化经验
大模型算法
Python",京东集团,电子商务,10000人以上,"【职业描述】
1. 理解业务需求，构建传统NLP和大模型技术相结合的技术解决方案 ，将AI能力赋能到公司教育业务场景，包括学堂、C端培训等
2. 深入研究NLP前沿技术，探索各行业、学术界最新的大语言模型产业成果与产品化 ，探索人工智能在职业教育中的应用
3. 开展人工智能算法培训
【任职资格】
1. 计算机、数学、统计学及电子信息相关专业背景；
2. 熟练掌握NLP的基础理论和方法，对语义理解、问答、对话、生成等，有深入研究或实际项目经验者优先
3. 熟悉大语言模型训练过程，包括预训练、SFT、RLHF等阶段；熟悉数据调优和数据增强等相关技术；有大语言模型推理和部署优化经验者优先；
4. 具备较强的编程和算法能力，精通C/C++，Cmake，Python，Shell，Linux，Git 等
5. 具备良好的沟通能力、团队协作、表达能力，能够与跨部门团队进行有效沟通和协作",2024-01-05,boss
人工智能算法研究员,北京-海淀,20k-40k,3-5年,硕士,研究导向,墨云科技,信息安全,100-499人,"职位描述：
1.负责核心产品的人工智能与网络攻击场景的预研
2.运用AI相关技术，尝试解决网络安全中传统技术无法覆盖的场景
3.关注业界技术的发展，能够提出新的研究方向
任职要求：
1.硕士或者博士以上学历（985/211优先），计算机、数学或信息安全专业 ，了解基本网络安全场景
2.了解深度学习，概率推理，图模型，强化学习，迁移学习，对抗学习等基本原理，并在其中一个领域做到深入理解(强化学习领域优先)
3.熟悉机器学习、深度学习相关算法，并拥有新场景下算法快速应用能力
4.有优秀的逻辑思维能力和数据分析能力，善于分析和解决问题
5.至少精通一种科学计算语言，如R, S，Python，C++
6.快速学习新技术的能力，能够在较短时间内理解前沿论文并评价
7.具备科研项目经历者优先
8.在学术会议上发表论文者优先
9.具有优秀的分析问题和解决问题的能力，对解决挑战性问题充满激情",2023-12-19,boss
人工智能算法工程师,北京-西城,25k-26k,3-5年,本科,"深度学习算法
视觉图像算法
自然语言处理
人脸识别",中移雄安,移动互联网,1000-9999人,"视频分析算法研发、视觉算法研发、图像文字识别算法研发、嵌入式AI开发方向
1、基于视频图像识别技术研发，主要场景包括但不限于Reid、人脸识别、人脸人体属性分析、活体检测、3D视觉重建、目标检测、语义分割、视频事件检测、行为分析，负责算法模型的训练与调优；
2、分析算法的瓶颈（如光照条件对算法的影响），并提出解决方案，推动算法在实际场景的性能优化与落地。
3、参与工程团队将人工智能算法落地，负责安防、智慧城市领域视频AI算法的核心技术研发工作；
4、负责计算机视觉AI算法在嵌入式平台的移植、调试优化和集成；负责嵌入式深度学习视觉AI算法模型的训练、压缩、裁剪和优化；
学历要求：
全日制统考类大学本科及以上学历，开发类相关专业，统招本科985或211学校毕业，硕士2年以上，本科3年以上
外语技能：
1、英语4级或同等水平。
专业技能：
1、具有机器学习，深度学习，计算机视觉、图像处理或自然语言领域专业背景和研发工作经验；
2、熟练使用TensorFlow/Caffe/MXNet/PyTorch中至少一种或多种深度学习框架；
3、深度理解AI算法实现过程数据收集、处理，模型训练等过程中的各类技巧；
4、了解CNN、LSTM、RNN等神经网络组件的原理；
5、具有独立完成AI算法训练与优化的能力；
6、面向嵌入式开发需要熟悉深度神经网络和嵌入式模型,如RBM、CNN、DBN、Sparsecoding、MobileNet等 ， 熟悉ARM体系架构，海思/nvidia/movidius相关平台开发经验者优先。
素质
1、良好的团队合作精神，出色的沟通和理解能力，出色的技术文档写作和演讲能力；
2、有责任心，工作积极主动、严谨细致，有团队合作精神和良好的沟通能力；
3、具备有很好的学习和逻辑能力，强烈的探索和求知欲；
4、具备一定的抗压能力，善于应对来自工作上的各种压力。",2023-12-06,boss
人工智能算法工程师,北京-海淀,40k-70k,经验不限,本科,"算法设计
深度学习算法
机器学习算法
自然语言处理
C++
Python
Java
CNN",瑞泊(北京)人工智能,互联网,20-99人,无,无,boss
人工智能算法工程师,北京-朝阳,14k-28k,1-3年,硕士,"深度学习算法
视觉图像算法
运动控制算法
Python
TensorFlow",丰码科技,农/林/牧/渔,20-99人,"• 负责图像/视频分析领域基础算法研发工作，研究方向包括：图像/视频分类、目标检测、人体行为姿态等相关算法的设计研究、系统与产品开发；视频事件/行为检测、视频结构化分析、视频搜索；农业场景中的3D重建、视觉SLAM；
• 负责公司业务场景中，计算机视觉相关应用问题的需求发掘、算法设计和研发、推动落地和迭代的全链路工作；
• 负责图像/视频相关算法的前沿技术探索，包括机器学习方法以及深度学习在机器视觉中的应用，以及计算机视觉、计算机图形学等相关领域的联合创新。
岗位要求：
• 深度学习、机器学习、计算机视觉等相关领域，硕士及以上学历优先
• 具有扎实的工程实现能力，熟练掌握C++，熟练掌握一门脚本语言（Python、Shell等）
• 熟练掌握一个深度学习框架（Pytorch、PaddlePaddle、Tensorflow等），有相关移动端、云端部署经验者优先；
• 熟悉计算机视觉、机器学习、图像/视频分析与处理等相关领域技术和应用，具备丰富的物体检测、分割、图像识别、视频分析、人脸识别、深度学习等相关领域的实践或研究经验；
• 良好的科研能力，在计算机视觉（CVPR、ICCV、ECCV）和机器学习（NIPS、ICML、AAAI）等相关会议发表论文者优先",2024-01-05,boss
人工智能算法实习生,北京-海淀,5k-6k,在校/应届,本科,"AIGC
LLM
GPT",九章云极,计算机软件,100-499人,"职位关键词:
数据科学、软件工程、Python、Java、C++、AIGC、LLM、GPT、模型微调
岗位职责:
1. 大模型前沿技术研究和探索;
2. 参与数据科学领域大模型相关的研发工作，包括但不限于模型设计、微调、优化、评估等环节；
3. 学术成果验证和落地, 撰写相关的技术报告。
任职资格：
1.优秀的编码能力，扎实的数据结构和算法功底，参与过开源项目者加分
2.掌握机器学习、NLP领域基本算法；
3.具备计算机专业知识，熟悉深度学习框架（如PyTorch、TensorFlow等），能够独立进行模型开发、部署和调试；
4. 对大语言模型原理和微调方面有深入的了解；
5. 具备较强的学习能力，能够快速掌握新的知识和技术，能够独立思考和解决问题；
6. 985、211院校本科及以上学历或具有相关领域实习经验者优先考虑。",2024-01-05,boss
